2026-07-30 23:26:41 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:26:41 [chain-local] watching cell meepleoff (0/400)
2026-07-30 23:26:41 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_meepleoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-30 23:32:47 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:32:47 [chain-local] watching cell meepleoff (0/400)
2026-07-31 09:29:25 healthy: 163/400 records, workers alive
2026-07-31 09:34:26 healthy: 183/400 records, workers alive
2026-07-31 09:39:27 healthy: 196/400 records, workers alive
2026-07-31 09:44:28 healthy: 214/400 records, workers alive
2026-07-31 09:49:29 healthy: 228/400 records, workers alive
2026-07-31 09:54:30 healthy: 245/400 records, workers alive
2026-07-31 09:59:31 healthy: 260/400 records, workers alive
2026-07-31 10:04:32 healthy: 275/400 records, workers alive
2026-07-31 10:09:33 healthy: 293/400 records, workers alive
2026-07-31 10:14:34 healthy: 306/400 records, workers alive
2026-07-31 10:19:35 healthy: 325/400 records, workers alive
2026-07-31 10:24:36 healthy: 339/400 records, workers alive
2026-07-31 10:29:37 healthy: 357/400 records, workers alive
2026-07-31 10:34:38 healthy: 373/400 records, workers alive
2026-07-31 10:39:39 healthy: 396/400 records, workers alive
2026-07-31 10:44:41 DONE: 400/400 records
2026-07-31 10:44:42 [chain-local] cell selfanticoff watch ended rc=0 (400/400 records)
2026-07-31 10:44:42 [chain-local] watching cell meepleflat (0/400)
2026-07-31 10:44:42 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_meepleflat/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-31 10:49:42 healthy: 0/400 records, workers alive
2026-07-31 10:54:43 healthy: 17/400 records, workers alive
2026-07-31 10:59:43 healthy: 33/400 records, workers alive
2026-07-31 11:04:41 healthy: 50/400 records, workers alive
2026-07-31 11:09:37 healthy: 67/400 records, workers alive
2026-07-31 11:14:33 healthy: 81/400 records, workers alive
2026-07-31 11:19:32 healthy: 97/400 records, workers alive
2026-07-31 11:24:33 healthy: 113/400 records, workers alive
2026-07-31 11:29:33 healthy: 128/400 records, workers alive
2026-07-31 11:34:34 healthy: 145/400 records, workers alive
2026-07-31 11:39:34 healthy: 161/400 records, workers alive
2026-07-31 11:44:35 healthy: 176/400 records, workers alive
2026-07-31 11:49:36 healthy: 193/400 records, workers alive
2026-07-31 11:54:37 healthy: 211/400 records, workers alive
2026-07-31 11:59:38 healthy: 225/400 records, workers alive
2026-07-31 12:04:39 healthy: 243/400 records, workers alive
2026-07-31 12:09:40 healthy: 258/400 records, workers alive
2026-07-31 12:14:41 healthy: 275/400 records, workers alive
2026-07-31 12:19:43 healthy: 290/400 records, workers alive
2026-07-31 12:24:44 healthy: 310/400 records, workers alive
2026-07-31 12:29:45 healthy: 322/400 records, workers alive
2026-07-31 12:34:47 healthy: 341/400 records, workers alive
2026-07-31 12:39:48 healthy: 355/400 records, workers alive
2026-07-31 12:44:50 healthy: 374/400 records, workers alive
2026-07-31 12:49:51 healthy: 392/400 records, workers alive
2026-07-31 12:54:53 DONE: 400/400 records
2026-07-31 12:54:55 [chain-local] cell meepleflat watch ended rc=0 (400/400 records)
2026-07-31 12:54:55 [chain-local] watching cell capoff (0/400)
2026-07-31 12:54:55 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_capoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-31 12:59:55 healthy: 0/400 records, workers alive
2026-07-31 13:04:55 healthy: 3/400 records, workers alive
2026-07-31 13:09:55 healthy: 30/400 records, workers alive
2026-07-31 13:14:55 healthy: 32/400 records, workers alive
2026-07-31 13:19:55 healthy: 41/400 records, workers alive
2026-07-31 13:24:55 healthy: 48/400 records, workers alive
2026-07-31 13:29:56 healthy: 54/400 records, workers alive
2026-07-31 13:34:56 healthy: 63/400 records, workers alive
2026-07-31 13:39:56 healthy: 67/400 records, workers alive
2026-07-31 13:44:57 healthy: 79/400 records, workers alive
2026-07-31 13:49:57 healthy: 83/400 records, workers alive
2026-07-31 13:54:57 healthy: 94/400 records, workers alive
2026-07-31 13:59:58 healthy: 99/400 records, workers alive
2026-07-31 14:04:58 healthy: 111/400 records, workers alive
2026-07-31 14:09:59 healthy: 115/400 records, workers alive
2026-07-31 14:14:59 healthy: 126/400 records, workers alive
2026-07-31 14:20:00 healthy: 131/400 records, workers alive
2026-07-31 14:25:01 healthy: 142/400 records, workers alive
2026-07-31 14:30:01 healthy: 148/400 records, workers alive
