idx,regime,mover_spec,opp_spec,opp_class,phase,k_remaining,legal_n,final_margin_mover,result_mover,motifs,block_opp,block_mag,block_actual_took,avoid_feeding_opp,avoid_feeding_mag,avoid_feeding_actual_took,contest_merge_opp,contest_merge_mag,contest_merge_actual_took,farm_claim_opp,farm_claim_mag,farm_claim_actual_took
480,greedy:greedy,greedy,greedy,mid,late_mid,15,16,31,W,block|avoid_feeding,1,2.5,0,1,2.5,0,0,,,0,,
486,h200:random,h200,random,weak,opening,56,22,75,W,avoid_feeding,0,,,1,2.1,0,0,,,0,,
487,h200:random,h200,random,weak,opening,54,25,75,W,avoid_feeding,0,,,1,2.1,0,0,,,0,,
490,greedy:greedy,greedy,greedy,mid,opening,67,4,-28,L,farm_claim,0,,,0,,,0,,,1,6.0,0
491,greedy:greedy,greedy,greedy,mid,opening,66,4,28,W,farm_claim,0,,,0,,,0,,,1,6.0,0
489,h200:random,random,h200,mid,late_mid,21,30,-75,L,avoid_feeding,0,,,1,4.0,0,0,,,0,,
488,h200:random,h200,random,weak,late_mid,22,44,75,W,contest_merge,0,,,0,,,1,9.0,0,0,,
492,greedy:greedy,greedy,greedy,mid,opening,65,6,-28,L,farm_claim,0,,,0,,,0,,,1,6.0,0
493,greedy:greedy,greedy,greedy,mid,opening,64,3,28,W,farm_claim,0,,,0,,,0,,,1,6.0,0
494,greedy:greedy,greedy,greedy,mid,opening,62,3,28,W,farm_claim,0,,,0,,,0,,,1,6.0,0
497,greedy:greedy,greedy,greedy,mid,opening,57,5,-28,L,farm_claim,0,,,0,,,0,,,1,9.0,0
495,greedy:greedy,greedy,greedy,mid,opening,60,3,28,W,farm_claim,0,,,0,,,0,,,1,6.0,0
498,greedy:greedy,greedy,greedy,mid,opening,56,16,28,W,avoid_feeding,0,,,1,2.0,1,0,,,0,,
496,greedy:greedy,greedy,greedy,mid,opening,58,6,28,W,farm_claim,0,,,0,,,0,,,1,6.0,0
499,greedy:greedy,greedy,greedy,mid,opening,55,3,-28,L,farm_claim,0,,,0,,,0,,,1,12.0,0
500,greedy:greedy,greedy,greedy,mid,opening,54,3,28,W,farm_claim,0,,,0,,,0,,,1,12.0,0
503,greedy:greedy,greedy,greedy,mid,opening,50,25,28,W,avoid_feeding,0,,,1,2.0,1,0,,,0,,
501,greedy:greedy,greedy,greedy,mid,opening,53,3,-28,L,farm_claim,0,,,0,,,0,,,1,12.0,0
502,greedy:greedy,greedy,greedy,mid,opening,51,3,-28,L,farm_claim,0,,,0,,,0,,,1,15.0,0
505,greedy:greedy,greedy,greedy,mid,opening,49,5,-28,L,farm_claim,0,,,0,,,0,,,1,15.0,0
504,greedy:greedy,greedy,greedy,mid,opening,50,2,28,W,farm_claim,0,,,0,,,0,,,1,15.0,0
506,greedy:greedy,greedy,greedy,mid,opening,48,5,28,W,farm_claim,0,,,0,,,0,,,1,18.0,0
507,greedy:greedy,greedy,greedy,mid,opening,47,3,-28,L,farm_claim,0,,,0,,,0,,,1,21.0,0
509,greedy:greedy,greedy,greedy,mid,midgame,45,3,-28,L,farm_claim,0,,,0,,,0,,,1,21.0,0
508,greedy:greedy,greedy,greedy,mid,midgame,46,3,28,W,farm_claim,0,,,0,,,0,,,1,21.0,0
515,greedy:greedy,greedy,greedy,mid,midgame,30,33,28,W,avoid_feeding,0,,,1,2.9,1,0,,,0,,
512,greedy:greedy,greedy,greedy,mid,midgame,38,26,28,W,avoid_feeding,0,,,1,2.6,1,0,,,0,,
516,greedy:greedy,greedy,greedy,mid,late_mid,24,48,28,W,avoid_feeding,0,,,1,2.9,1,0,,,0,,
511,greedy:greedy,greedy,greedy,mid,midgame,40,29,28,W,avoid_feeding,0,,,1,3.0,0,0,,,0,,
510,greedy:greedy,greedy,greedy,mid,midgame,44,3,28,W,farm_claim,0,,,0,,,0,,,1,24.0,1
513,greedy:greedy,greedy,greedy,mid,midgame,36,24,28,W,avoid_feeding,0,,,1,2.9,1,0,,,0,,
514,greedy:greedy,greedy,greedy,mid,midgame,36,3,28,W,farm_claim,0,,,0,,,0,,,1,6.0,0
517,greedy:greedy,greedy,greedy,mid,late_mid,22,4,28,W,farm_claim,0,,,0,,,0,,,1,9.0,1
518,greedy:greedy,greedy,greedy,mid,late_mid,21,46,-28,L,avoid_feeding,0,,,1,2.1,1,0,,,0,,
521,greedy:greedy,greedy,greedy,mid,opening,69,5,8,W,farm_claim,0,,,0,,,0,,,1,6.0,0
519,greedy:greedy,greedy,greedy,mid,pre_endgame,14,46,28,W,avoid_feeding,0,,,1,4.7,1,0,,,0,,
522,greedy:greedy,greedy,greedy,mid,opening,65,5,8,W,farm_claim,0,,,0,,,0,,,1,6.0,0
524,greedy:greedy,greedy,greedy,mid,opening,60,3,-8,L,farm_claim,0,,,0,,,0,,,1,6.0,0
523,greedy:greedy,greedy,greedy,mid,opening,64,6,-8,L,farm_claim,0,,,0,,,0,,,1,6.0,0
527,greedy:greedy,greedy,greedy,mid,opening,51,31,8,W,avoid_feeding,0,,,1,3.5,0,0,,,0,,
520,greedy:greedy,greedy,greedy,mid,endgame,3,34,-28,L,avoid_feeding,0,,,1,2.7,1,0,,,0,,
525,greedy:greedy,greedy,greedy,mid,opening,55,26,8,W,avoid_feeding,0,,,1,2.9,0,0,,,0,,
526,greedy:greedy,greedy,greedy,mid,opening,55,3,8,W,farm_claim,0,,,0,,,0,,,1,6.0,0
529,greedy:greedy,greedy,greedy,mid,midgame,45,31,8,W,avoid_feeding,0,,,1,2.3,1,0,,,0,,
530,greedy:greedy,greedy,greedy,mid,midgame,41,36,8,W,avoid_feeding,0,,,1,2.6,1,0,,,0,,
528,greedy:greedy,greedy,greedy,mid,midgame,46,3,-8,L,farm_claim,0,,,0,,,0,,,1,6.0,0
532,h200:random,h200,random,weak,opening,72,4,94,W,farm_claim,0,,,0,,,0,,,1,6.0,1
531,greedy:greedy,greedy,greedy,mid,midgame,40,3,-8,L,farm_claim,0,,,0,,,0,,,1,6.0,0
533,h200:random,random,h200,mid,opening,69,4,-94,L,farm_claim,0,,,0,,,0,,,1,6.0,0
534,h200:random,h200,random,weak,opening,68,4,94,W,farm_claim,0,,,0,,,0,,,1,6.0,1
538,h200:random,random,h200,mid,midgame,41,32,-94,L,avoid_feeding,0,,,1,2.0,0,0,,,0,,
535,h200:random,random,h200,mid,opening,57,6,-94,L,farm_claim,0,,,0,,,0,,,1,6.0,1
536,h200:random,h200,random,weak,opening,52,19,94,W,contest_merge,0,,,0,,,1,18.0,0,0,,
537,h200:random,h200,random,weak,opening,50,24,94,W,avoid_feeding,0,,,1,2.4,0,0,,,0,,
539,h200:random,h200,random,weak,midgame,30,25,94,W,avoid_feeding,0,,,1,2.4,0,0,,,0,,
544,h200:random,h200,random,weak,endgame,6,49,94,W,contest_merge,0,,,0,,,1,48.0,0,0,,
540,h200:random,h200,random,weak,late_mid,26,5,94,W,farm_claim,0,,,0,,,0,,,1,6.0,0
541,h200:random,random,h200,mid,late_mid,19,36,-94,L,avoid_feeding,0,,,1,2.3,1,0,,,0,,
542,h200:random,h200,random,weak,pre_endgame,12,32,94,W,contest_merge,0,,,0,,,1,42.0,0,0,,
547,greedy:greedy,greedy,greedy,mid,opening,71,6,0,D,farm_claim,0,,,0,,,0,,,1,6.0,0
548,greedy:greedy,greedy,greedy,mid,opening,65,8,0,D,farm_claim,0,,,0,,,0,,,1,6.0,0
543,h200:random,random,h200,mid,pre_endgame,7,44,-94,L,contest_merge,0,,,0,,,1,51.0,0,0,,
545,h200:random,random,h200,mid,endgame,3,44,-94,L,avoid_feeding|contest_merge,0,,,1,2.3,1,1,51.0,0,0,,
551,greedy:greedy,greedy,greedy,mid,opening,53,3,0,D,farm_claim,0,,,0,,,0,,,1,6.0,0
550,greedy:greedy,greedy,greedy,mid,opening,59,5,0,D,farm_claim,0,,,0,,,0,,,1,6.0,0
549,greedy:greedy,greedy,greedy,mid,opening,60,3,0,D,farm_claim,0,,,0,,,0,,,1,6.0,0
553,greedy:greedy,greedy,greedy,mid,opening,51,3,0,D,farm_claim,0,,,0,,,0,,,1,9.0,0
552,greedy:greedy,greedy,greedy,mid,opening,52,5,0,D,farm_claim,0,,,0,,,0,,,1,9.0,0
555,greedy:greedy,greedy,greedy,mid,midgame,45,16,0,D,block|avoid_feeding,1,2.0,1,1,2.0,1,0,,,0,,
554,greedy:greedy,greedy,greedy,mid,opening,50,5,0,D,farm_claim,0,,,0,,,0,,,1,9.0,0
556,greedy:greedy,greedy,greedy,mid,midgame,41,31,0,D,block|avoid_feeding,1,3.0,0,1,3.0,0,0,,,0,,
557,greedy:greedy,greedy,greedy,mid,midgame,39,35,0,D,block|avoid_feeding,1,3.0,0,1,3.0,0,0,,,0,,
558,greedy:greedy,greedy,greedy,mid,midgame,31,29,0,D,avoid_feeding,0,,,1,5.0,0,0,,,0,,
559,greedy:greedy,greedy,greedy,mid,late_mid,26,3,0,D,farm_claim,0,,,0,,,0,,,1,9.0,0
546,h200:random,h200,random,weak,endgame,2,44,94,W,contest_merge,0,,,0,,,1,48.0,1,0,,
560,greedy:greedy,greedy,greedy,mid,late_mid,25,51,0,D,avoid_feeding,0,,,1,2.4,1,0,,,0,,
