idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
215,MUST_PUNISH_WEAK,greedy:greedy,1987008,8,26,1,greedy,greedy,TILES,59,-9,14,14,1,18,W,0,1,1,1,1,1,1
213,MUST_NOT_FEED,greedy:greedy,1987010,10,101,1,greedy,greedy,TILES,21,11,44,9,1,46,W,1,1,1,1,1,1,1
212,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987010,10,98,1,greedy,greedy,MEEPLES,23,11,6,30,1,46,W,0,1,1,1,1,1,1
217,MUST_NOT_FEED,greedy:greedy,1987008,8,106,1,greedy,greedy,TILES,19,-2,65,9,1,18,W,1,1,1,1,1,1,1
219,MUST_NOT_FEED,greedy:greedy,1987009,9,22,1,greedy,greedy,TILES,61,0,11,9,1,7,W,0,1,1,1,1,1,1
214,MUST_NOT_FEED,greedy:greedy,1987010,10,105,1,greedy,greedy,TILES,19,15,44,9,1,46,W,0,1,1,1,1,1,1
216,MUST_PUNISH_WEAK,greedy:greedy,1987008,8,57,0,greedy,greedy,MEEPLES,44,5,3,9,1,-18,L,0,0,1,1,1,1,1
216,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987008,8,57,0,greedy,greedy,MEEPLES,44,5,3,9,1,-18,L,0,0,1,1,1,1,1
220,MUST_PUNISH_WEAK,greedy:greedy,1987009,9,31,1,greedy,greedy,MEEPLES,57,0,4,12,0,7,W,0,0,1,1,1,1,1
220,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987009,9,31,1,greedy,greedy,MEEPLES,57,0,4,12,0,7,W,0,0,1,1,1,1,1
218,MUST_BLOCK_CITY,greedy:greedy,1987008,8,114,1,greedy,greedy,TILES,15,12,30,9,1,18,W,0,1,1,1,1,1,1
218,MUST_NOT_FEED,greedy:greedy,1987008,8,114,1,greedy,greedy,TILES,15,12,30,9,1,18,W,0,1,1,1,1,1,1
221,MUST_PUNISH_WEAK,greedy:greedy,1987009,9,35,1,greedy,greedy,MEEPLES,55,0,5,12,0,7,W,0,0,1,1,1,1,0
221,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987009,9,35,1,greedy,greedy,MEEPLES,55,0,5,12,0,7,W,0,0,1,1,1,1,0
224,MUST_PUNISH_WEAK,greedy:greedy,1987011,11,17,0,greedy,greedy,MEEPLES,64,7,4,9,0,14,W,0,0,1,1,1,1,1
224,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987011,11,17,0,greedy,greedy,MEEPLES,64,7,4,9,0,14,W,0,0,1,1,1,1,1
223,MUST_PUNISH_WEAK,greedy:greedy,1987011,11,15,1,greedy,greedy,MEEPLES,65,-7,5,9,0,-14,L,0,0,1,1,1,1,1
223,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:greedy,1987011,11,15,1,greedy,greedy,MEEPLES,65,-7,5,9,0,-14,L,0,0,1,1,1,1,1
226,MUST_PUNISH_WEAK,rod1:random,1980011,11,15,1,rod1,random,TILES,63,0,13,12,1,51,W,0,1,1,1,1,1,1
222,MUST_NOT_FEED,greedy:greedy,1987009,9,54,1,greedy,greedy,TILES,45,-4,36,10,1,7,W,1,1,1,1,1,1,1
228,MUST_PUNISH_WEAK,greedy:random,1981001,1,21,0,random,greedy,MEEPLES,62,0,4,9,1,-79,L,0,0,1,1,1,1,1
228,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981001,1,21,0,random,greedy,MEEPLES,62,0,4,9,1,-79,L,0,0,1,1,1,1,1
227,MUST_PUNISH_WEAK,rod1:random,1980011,11,47,1,rod1,random,TILES,47,16,28,10,0,51,W,0,0,0,0,0,0,0
232,MUST_PUNISH_WEAK,greedy:random,1981002,2,15,1,random,greedy,MEEPLES,65,-3,6,9,0,-79,L,0,0,1,1,1,1,1
232,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981002,2,15,1,random,greedy,MEEPLES,65,-3,6,9,0,-79,L,0,0,1,1,1,1,1
225,MUST_BLOCK_CITY,greedy:greedy,1987011,11,124,0,greedy,greedy,TILES,10,19,37,10,0,14,W,0,0,1,1,1,1,0
225,MUST_NOT_FEED,greedy:greedy,1987011,11,124,0,greedy,greedy,TILES,10,19,37,10,0,14,W,0,0,1,1,1,1,0
