idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
11,MUST_PUNISH_WEAK,h6400:random,1982001,1,22,1,h6400,random,TILES,61,0,17,10,1,85,W,0,1,1,1,1,1,1
2,MUST_NOT_FEED,h6400:random,1982000,0,78,1,random,h6400,TILES,33,-6,34,18,1,-62,L,1,1,1,1,1,1,1
13,MUST_PUNISH_WEAK,rod1:h6400,1988001,1,21,0,h6400,rod1,MEEPLES,62,1,6,9,0,-31,L,1,0,0,0,0,0,0
13,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988001,1,21,0,h6400,rod1,MEEPLES,62,1,6,9,0,-31,L,1,0,0,0,0,0,0
12,MUST_PUNISH_WEAK,h6400:random,1982001,1,54,1,h6400,random,TILES,45,18,22,10,1,85,W,0,1,1,1,1,1,1
0,MUST_PUNISH_WEAK,h6400:random,1982000,0,49,0,h6400,random,MEEPLES,48,6,5,9,1,62,W,0,0,1,1,1,1,1
0,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982000,0,49,0,h6400,random,MEEPLES,48,6,5,9,1,62,W,0,0,1,1,1,1,1
6,MUST_PUNISH_WEAK,h6400:random,1982002,2,73,0,h6400,random,MEEPLES,36,8,6,9,0,77,W,0,0,0,0,0,0,0
6,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982002,2,73,0,h6400,random,MEEPLES,36,8,6,9,0,77,W,0,0,0,0,0,0,0
10,MUST_PUNISH_WEAK,h6400:random,1982003,3,66,1,h6400,random,TILES,39,13,31,14,1,98,W,0,1,1,1,1,1,1
4,MUST_NOT_FEED,h6400:random,1982002,2,42,1,random,h6400,TILES,51,-4,21,9,1,-77,L,1,1,1,1,1,1,1
1,MUST_NOT_FEED,h6400:random,1982000,0,66,1,random,h6400,TILES,39,-6,27,18,1,-62,L,1,1,1,1,1,1,1
7,MUST_BLOCK_CITY,h6400:random,1982002,2,78,1,random,h6400,TILES,33,-16,35,13,0,-77,L,0,0,0,0,0,0,0
5,MUST_NOT_FEED,h6400:random,1982002,2,66,1,random,h6400,TILES,39,-8,40,13,0,-77,L,0,0,0,0,0,0,0
9,MUST_PUNISH_WEAK,h6400:random,1982002,2,124,0,h6400,random,TILES,10,16,28,36,1,77,W,0,1,1,1,1,1,1
8,MUST_BLOCK_CITY,h6400:random,1982002,2,114,1,random,h6400,TILES,15,-16,32,17,0,-77,L,0,0,1,1,1,1,1
14,MUST_PUNISH_WEAK,rod1:h6400,1988001,1,29,0,h6400,rod1,MEEPLES,58,0,4,12,1,-31,L,0,0,1,1,1,1,1
14,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988001,1,29,0,h6400,rod1,MEEPLES,58,0,4,12,1,-31,L,0,0,1,1,1,1,1
17,MUST_PUNISH_WEAK,rod1:h6400,1988007,7,18,1,rod1,h6400,TILES,63,0,19,8,1,-17,L,0,1,1,1,1,1,1
18,MUST_PUNISH_WEAK,rod1:h6400,1988007,7,60,0,h6400,rod1,TILES,42,-1,31,8,1,17,W,0,1,1,1,1,1,1
16,MUST_NOT_FEED,rod1:h6400,1988001,1,54,1,rod1,h6400,TILES,45,16,21,12,1,31,W,1,1,1,1,1,1,1
15,MUST_NOT_FEED,rod1:h6400,1988001,1,48,0,h6400,rod1,TILES,48,-18,26,12,1,-31,L,1,1,1,1,1,1,1
19,MUST_NOT_FEED,rod1:h6400,1988007,7,110,1,rod1,h6400,TILES,17,0,42,9,1,-17,L,1,1,1,1,1,1,1
21,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988007,7,137,0,h6400,rod1,MEEPLES,4,6,5,9,1,17,W,0,1,1,1,1,1,1
3,MUST_PUNISH_WEAK,h6400:random,1982000,0,140,0,h6400,random,TILES,2,2,40,40,1,62,W,0,1,1,1,1,1,0
22,MUST_NOT_FEED,rod1:h6400,1988009,9,54,1,rod1,h6400,TILES,45,-12,22,8,1,0,D,1,1,1,1,1,1,1
20,MUST_NOT_FEED,rod1:h6400,1988007,7,118,1,rod1,h6400,TILES,13,0,38,9,1,-17,L,1,1,1,1,1,1,1
25,MUST_PUNISH_WEAK,rod1:h6400,1988003,3,32,0,h6400,rod1,TILES,56,0,33,12,1,2,W,0,1,1,1,1,1,1
26,MUST_PUNISH_WEAK,rod1:h6400,1988003,3,50,1,rod1,h6400,TILES,47,-21,30,12,1,-2,L,0,1,1,1,1,1,1
24,MUST_NOT_FEED,rod1:h6400,1988009,9,122,1,rod1,h6400,TILES,11,-17,34,8,1,0,D,1,1,1,1,1,1,1
23,MUST_PUNISH_WEAK,rod1:h6400,1988009,9,88,0,h6400,rod1,TILES,28,3,29,20,1,0,D,0,1,1,1,1,1,1
27,MUST_PUNISH_WEAK,rod1:h6400,1988005,5,7,1,rod1,h6400,MEEPLES,69,0,4,9,1,6,W,0,0,1,1,1,1,1
27,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988005,5,7,1,rod1,h6400,MEEPLES,69,0,4,9,1,6,W,0,0,1,1,1,1,1
28,MUST_NOT_FEED,rod1:h6400,1988005,5,14,1,rod1,h6400,TILES,65,0,6,8,1,6,W,1,1,1,1,1,1,1
30,MUST_BLOCK_CITY,rod1:h6400,1988005,5,56,0,h6400,rod1,TILES,44,-10,13,15,0,-6,L,1,0,0,0,0,0,0
29,MUST_BLOCK_CITY,rod1:h6400,1988005,5,34,1,rod1,h6400,TILES,55,6,15,11,1,6,W,0,1,1,1,1,1,1
29,MUST_NOT_FEED,rod1:h6400,1988005,5,34,1,rod1,h6400,TILES,55,6,15,11,1,6,W,0,1,1,1,1,1,1
32,MUST_PUNISH_WEAK,rod1:h6400,1988000,0,68,0,rod1,h6400,TILES,38,5,40,8,1,32,W,0,1,1,1,1,1,1
39,MUST_PUNISH_WEAK,rod1:h6400,1988004,4,27,1,h6400,rod1,MEEPLES,59,0,4,9,0,-3,L,0,0,0,0,0,0,0
39,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988004,4,27,1,h6400,rod1,MEEPLES,59,0,4,9,0,-3,L,0,0,0,0,0,0,0
37,MUST_PUNISH_WEAK,rod1:h6400,1988008,8,32,0,rod1,h6400,TILES,56,-5,24,8,1,-35,L,0,1,1,1,1,1,1
31,MUST_PUNISH_WEAK,rod1:h6400,1988005,5,97,0,h6400,rod1,MEEPLES,24,11,5,9,1,-6,L,0,1,1,1,1,1,1
31,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988005,5,97,0,h6400,rod1,MEEPLES,24,11,5,9,1,-6,L,0,1,1,1,1,1,1
38,MUST_PUNISH_WEAK,rod1:h6400,1988008,8,43,1,h6400,rod1,MEEPLES,51,-3,3,9,1,35,W,0,0,1,1,1,1,1
38,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988008,8,43,1,h6400,rod1,MEEPLES,51,-3,3,9,1,35,W,0,0,1,1,1,1,1
33,MUST_PUNISH_WEAK,rod1:h6400,1988000,0,87,1,h6400,rod1,MEEPLES,29,-22,7,9,1,-32,L,0,0,1,1,1,1,0
33,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988000,0,87,1,h6400,rod1,MEEPLES,29,-22,7,9,1,-32,L,0,0,1,1,1,1,0
40,MUST_PUNISH_WEAK,rod1:h6400,1988004,4,49,0,rod1,h6400,MEEPLES,48,-5,2,9,0,3,W,1,0,0,0,0,1,0
40,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988004,4,49,0,rod1,h6400,MEEPLES,48,-5,2,9,0,3,W,1,0,0,0,0,1,0
34,MUST_NOT_FEED,rod1:h6400,1988000,0,110,1,h6400,rod1,TILES,17,-16,25,8,1,-32,L,1,1,1,1,1,1,1
41,MUST_NOT_FEED,rod1:h6400,1988004,4,54,1,h6400,rod1,TILES,45,2,31,8,0,-3,L,0,0,0,0,0,0,0
36,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988000,0,123,1,h6400,rod1,MEEPLES,11,-13,4,12,1,-32,L,0,1,1,1,1,1,1
42,MUST_PUNISH_WEAK,rod1:h6400,1988002,2,23,1,h6400,rod1,MEEPLES,61,-4,3,9,1,17,W,1,0,1,1,1,1,1
42,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988002,2,23,1,h6400,rod1,MEEPLES,61,-4,3,9,1,17,W,1,0,1,1,1,1,1
35,MUST_NOT_FEED,rod1:h6400,1988000,0,114,1,h6400,rod1,TILES,15,-21,30,8,1,-32,L,1,1,1,1,1,1,1
46,MUST_PUNISH_WEAK,rod1:h6400,1988006,6,23,1,h6400,rod1,MEEPLES,61,0,5,9,1,0,D,0,0,0,1,1,1,1
46,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988006,6,23,1,h6400,rod1,MEEPLES,61,0,5,9,1,0,D,0,0,0,1,1,1,1
43,MUST_PUNISH_WEAK,rod1:h6400,1988002,2,37,0,rod1,h6400,MEEPLES,54,0,4,12,1,-17,L,1,0,1,1,1,1,1
43,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988002,2,37,0,rod1,h6400,MEEPLES,54,0,4,12,1,-17,L,1,0,1,1,1,1,1
47,MUST_PUNISH_WEAK,rod1:h6400,1988006,6,30,1,h6400,rod1,TILES,57,0,24,8,1,0,D,0,1,1,1,1,1,1
48,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988006,6,37,0,rod1,h6400,MEEPLES,54,-8,4,12,1,0,D,0,0,1,1,1,1,1
44,MUST_NOT_FEED,rod1:h6400,1988002,2,102,1,h6400,rod1,TILES,21,0,49,10,1,17,W,1,1,1,1,1,1,1
52,MUST_PUNISH_WEAK,h6400:random,1982006,6,8,0,h6400,random,TILES,68,0,11,8,1,98,W,0,1,1,1,1,1,1
45,MUST_NOT_FEED,rod1:h6400,1988002,2,130,1,h6400,rod1,TILES,7,10,46,10,0,17,W,0,0,0,0,0,0,0
55,MUST_PUNISH_WEAK,h6400:random,1982005,5,26,1,h6400,random,TILES,59,4,19,8,1,75,W,1,1,1,1,1,1,1
53,MUST_NOT_FEED,h6400:random,1982006,6,62,1,random,h6400,TILES,41,-19,23,9,1,-98,L,1,1,1,1,1,1,1
54,MUST_NOT_FEED,h6400:random,1982006,6,74,1,random,h6400,TILES,35,-25,38,9,1,-98,L,1,1,1,1,1,1,1
56,MUST_PUNISH_WEAK,h6400:random,1982005,5,31,1,h6400,random,MEEPLES,57,12,4,9,1,75,W,0,0,1,1,1,1,1
56,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982005,5,31,1,h6400,random,MEEPLES,57,12,4,9,1,75,W,0,0,1,1,1,1,1
51,MUST_NOT_FEED,h6400:random,1982004,4,77,1,random,h6400,TILES,33,-26,28,8,1,-91,L,1,1,1,1,1,1,1
50,MUST_NOT_FEED,rod1:h6400,1988006,6,128,0,rod1,h6400,TILES,8,13,39,18,1,0,D,1,1,1,1,1,1,1
49,MUST_BLOCK_CITY,rod1:h6400,1988006,6,100,0,rod1,h6400,TILES,22,13,13,12,1,0,D,0,1,1,1,1,1,1
49,MUST_NOT_FEED,rod1:h6400,1988006,6,100,0,rod1,h6400,TILES,22,13,13,12,1,0,D,0,1,1,1,1,1,1
58,MUST_BLOCK_CITY,h6400:random,1982005,5,72,0,random,h6400,TILES,36,-17,36,8,0,-75,L,0,0,0,0,0,0,0
58,MUST_NOT_FEED,h6400:random,1982005,5,72,0,random,h6400,TILES,36,-17,36,8,0,-75,L,0,0,0,0,0,0,0
57,MUST_NOT_FEED,h6400:random,1982005,5,64,0,random,h6400,TILES,40,-17,32,8,0,-75,L,0,0,0,0,0,0,0
59,MUST_PUNISH_WEAK,h6400:random,1982007,7,18,1,h6400,random,TILES,63,0,12,10,1,53,W,1,1,1,1,1,1,1
60,MUST_PUNISH_WEAK,h6400:random,1982007,7,43,1,h6400,random,MEEPLES,51,14,3,9,1,53,W,0,0,1,1,1,1,1
60,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982007,7,43,1,h6400,random,MEEPLES,51,14,3,9,1,53,W,0,0,1,1,1,1,1
61,MUST_PUNISH_WEAK,h3200:random,1983000,0,76,0,h3200,random,TILES,34,20,38,8,1,100,W,0,1,0,1,1,1,1
64,MUST_PUNISH_WEAK,h3200:random,1983001,1,70,1,h3200,random,TILES,37,10,28,12,1,86,W,0,1,1,1,1,1,1
66,MUST_PUNISH_WEAK,h3200:random,1983004,4,23,1,random,h3200,MEEPLES,61,-2,4,9,1,-54,L,0,0,1,1,1,1,1
66,HIGH_VALUE_FARM_CLAIM_REFINED,h3200:random,1983004,4,23,1,random,h3200,MEEPLES,61,-2,4,9,1,-54,L,0,0,1,1,1,1,1
68,MUST_PUNISH_WEAK,h3200:random,1983005,5,11,0,random,h3200,TILES,66,-4,17,8,0,-76,L,0,1,1,1,1,1,1
69,MUST_PUNISH_WEAK,h3200:random,1983006,6,40,0,h3200,random,TILES,52,11,18,10,1,88,W,0,1,1,1,1,1,1
62,MUST_NOT_FEED,h3200:random,1983000,0,126,1,random,h3200,TILES,9,-65,37,16,1,-100,L,1,1,1,1,1,1,1
70,MUST_PUNISH_WEAK,h3200:random,1983009,9,29,1,h3200,random,TILES,57,-2,14,14,1,87,W,0,1,1,1,1,1,1
65,MUST_PUNISH_WEAK,h3200:random,1983001,1,100,0,random,h3200,TILES,22,-36,51,10,0,-86,L,0,1,1,1,1,1,0
63,MUST_NOT_FEED,h3200:random,1983000,0,130,1,random,h3200,TILES,7,-68,34,15,1,-100,L,1,1,1,1,1,1,1
71,MUST_PUNISH_WEAK,h3200:random,1983009,9,32,0,random,h3200,MEEPLES,56,-12,4,9,0,-87,L,0,0,1,1,1,1,1
71,HIGH_VALUE_FARM_CLAIM_REFINED,h3200:random,1983009,9,32,0,random,h3200,MEEPLES,56,-12,4,9,0,-87,L,0,0,1,1,1,1,1
72,HIGH_VALUE_FARM_CLAIM_REFINED,h3200:random,1983009,9,36,0,random,h3200,MEEPLES,54,-12,3,12,0,-87,L,0,0,1,1,1,1,1
67,MUST_PUNISH_WEAK,h3200:random,1983002,2,84,0,h3200,random,TILES,30,20,27,10,1,109,W,0,1,1,1,1,1,0
75,MUST_NOT_FEED,h3200:random,1983008,8,26,1,random,h3200,TILES,59,0,20,8,1,-65,L,1,1,1,1,1,1,1
76,MUST_NOT_FEED,h3200:random,1983008,8,34,1,random,h3200,TILES,55,0,25,8,1,-65,L,1,1,1,1,1,1,1
74,MUST_NOT_FEED,h3200:random,1983009,9,123,0,random,h3200,TILES,10,-44,36,14,1,-87,L,1,1,1,1,1,1,1
73,MUST_NOT_FEED,h3200:random,1983009,9,111,0,random,h3200,TILES,16,-40,43,14,1,-87,L,1,1,1,1,1,1,1
78,MUST_PUNISH_WEAK,h3200:random,1983007,7,34,1,h3200,random,TILES,55,0,22,14,1,91,W,0,1,1,1,1,1,1
77,MUST_PUNISH_WEAK,h3200:random,1983008,8,108,0,h3200,random,TILES,18,0,47,12,1,65,W,0,1,1,1,1,1,1
79,MUST_PUNISH_WEAK,h3200:random,1983007,7,56,0,random,h3200,TILES,44,-20,31,10,0,-91,L,0,1,1,1,1,1,1
82,MUST_PUNISH_WEAK,h3200:random,1983010,10,16,0,h3200,random,TILES,64,0,16,18,1,87,W,0,1,1,1,1,1,1
81,MUST_PUNISH_WEAK,h800:h800,1986000,0,39,1,h800,h800,MEEPLES,53,-7,7,9,1,-20,L,0,0,1,1,1,1,1
81,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986000,0,39,1,h800,h800,MEEPLES,53,-7,7,9,1,-20,L,0,0,1,1,1,1,1
80,MUST_PUNISH_WEAK,h800:h800,1986000,0,36,0,h800,h800,TILES,54,-3,24,10,1,20,W,0,1,1,1,1,1,1
84,MUST_PUNISH_WEAK,h800:h800,1986001,1,36,0,h800,h800,TILES,54,-4,8,10,1,41,W,0,1,1,1,1,1,1
83,MUST_PUNISH_WEAK,h3200:random,1983011,11,52,0,random,h3200,TILES,46,-31,26,12,0,-97,L,0,1,1,1,1,1,0
86,MUST_PUNISH_WEAK,h800:h800,1986002,2,31,1,h800,h800,MEEPLES,57,-3,3,9,1,3,W,0,0,1,1,1,1,1
86,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986002,2,31,1,h800,h800,MEEPLES,57,-3,3,9,1,3,W,0,0,1,1,1,1,1
87,MUST_PUNISH_WEAK,h800:h800,1986002,2,64,0,h800,h800,TILES,40,-2,28,12,1,-3,L,0,0,0,1,0,0,0
85,MUST_PUNISH_WEAK,h800:h800,1986001,1,70,1,h800,h800,TILES,37,-23,18,14,1,-41,L,0,1,1,1,1,1,1
88,MUST_PUNISH_WEAK,h800:h800,1986003,3,12,0,h800,h800,TILES,66,-4,13,8,1,-52,L,0,1,1,1,1,1,1
92,MUST_PUNISH_WEAK,h800:h800,1986004,4,13,0,h800,h800,MEEPLES,66,0,3,9,1,0,D,1,0,1,1,1,1,1
92,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986004,4,13,0,h800,h800,MEEPLES,66,0,3,9,1,0,D,1,0,1,1,1,1,1
93,MUST_PUNISH_WEAK,h800:h800,1986004,4,28,0,h800,h800,TILES,58,0,22,14,1,0,D,0,1,1,1,1,1,1
89,MUST_PUNISH_WEAK,h800:h800,1986003,3,64,0,h800,h800,TILES,40,-10,20,8,1,-52,L,0,1,1,1,1,1,1
90,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986003,3,69,0,h800,h800,MEEPLES,38,-11,6,9,1,-52,L,0,0,1,1,1,1,1
95,MUST_PUNISH_WEAK,h800:h800,1986005,5,19,1,h800,h800,MEEPLES,63,-2,6,9,0,31,W,0,0,0,0,0,0,0
95,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986005,5,19,1,h800,h800,MEEPLES,63,-2,6,9,0,31,W,0,0,0,0,0,0,0
96,MUST_PUNISH_WEAK,h800:h800,1986005,5,23,1,h800,h800,MEEPLES,61,-2,2,9,1,31,W,0,0,1,1,1,1,1
96,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986005,5,23,1,h800,h800,MEEPLES,61,-2,2,9,1,31,W,0,0,1,1,1,1,1
99,MUST_PUNISH_WEAK,h800:h800,1986008,8,13,0,h800,h800,MEEPLES,66,0,5,9,1,3,W,1,0,1,1,0,1,1
99,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986008,8,13,0,h800,h800,MEEPLES,66,0,5,9,1,3,W,1,0,1,1,0,1,1
100,MUST_PUNISH_WEAK,h800:h800,1986008,8,52,0,h800,h800,TILES,46,-8,25,14,1,3,W,0,1,1,1,1,1,1
97,MUST_NOT_FEED,h800:h800,1986005,5,114,1,h800,h800,TILES,15,12,36,9,1,31,W,1,1,1,1,1,1,1
94,MUST_NOT_FEED,h800:h800,1986004,4,136,0,h800,h800,TILES,4,36,21,13,1,0,D,1,1,1,1,1,1,1
101,MUST_NOT_FEED,h800:h800,1986008,8,130,1,h800,h800,TILES,7,-2,50,13,1,-3,L,1,1,1,1,1,1,1
98,MUST_NOT_FEED,h800:h800,1986005,5,118,1,h800,h800,TILES,13,12,44,10,1,31,W,1,1,1,1,1,1,1
103,MUST_PUNISH_WEAK,h6400:random,1982008,8,12,0,h6400,random,TILES,66,0,17,8,1,69,W,0,1,1,1,1,1,1
102,MUST_NOT_FEED,h800:h800,1986008,8,134,1,h800,h800,TILES,5,-2,52,13,1,-3,L,1,1,1,1,1,1,1
106,MUST_PUNISH_WEAK,h800:h800,1986006,6,66,1,h800,h800,TILES,39,6,40,12,1,0,D,0,1,1,1,1,1,1
104,MUST_NOT_FEED,h6400:random,1982008,8,48,0,h6400,random,TILES,48,22,21,8,1,69,W,1,1,1,1,1,1,1
108,MUST_NOT_FEED,h800:h800,1986006,6,74,1,h800,h800,TILES,35,18,30,8,0,0,D,0,0,0,0,0,0,0
107,MUST_NOT_FEED,h800:h800,1986006,6,70,1,h800,h800,TILES,37,18,26,8,0,0,D,0,0,0,0,0,0,0
105,MUST_PUNISH_WEAK,h800:h800,1986007,7,106,1,h800,h800,TILES,19,7,34,18,1,18,W,0,1,1,1,1,1,1
109,MUST_PUNISH_WEAK,h800:h800,1986006,6,76,0,h800,h800,TILES,34,-22,48,18,1,0,D,0,1,1,1,1,1,1
110,MUST_PUNISH_WEAK,h800:h800,1986009,9,46,1,h800,h800,TILES,49,3,40,8,1,-23,L,0,1,1,1,1,1,1
111,MUST_NOT_FEED,h800:h800,1986009,9,94,1,h800,h800,TILES,25,0,38,13,0,-23,L,0,0,0,0,0,0,0
114,MUST_PUNISH_WEAK,h800:h800,1986010,10,60,0,h800,h800,TILES,42,-2,30,8,1,14,W,0,1,1,1,1,1,1
113,MUST_PUNISH_WEAK,h800:h800,1986011,11,96,0,h800,h800,TILES,24,11,27,14,1,29,W,0,1,1,1,1,1,1
116,MUST_PUNISH_WEAK,h6400:random,1982009,9,62,1,h6400,random,MEEPLES,41,15,5,9,0,76,W,0,0,0,1,0,0,0
116,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982009,9,62,1,h6400,random,MEEPLES,41,15,5,9,0,76,W,0,0,0,1,0,0,0
112,MUST_PUNISH_WEAK,h800:h800,1986009,9,96,0,h800,h800,TILES,24,-4,17,28,1,23,W,0,1,1,1,1,1,1
115,MUST_PUNISH_WEAK,h800:h800,1986010,10,62,1,h800,h800,TILES,41,-6,30,14,1,-14,L,0,1,1,1,1,1,1
117,MUST_PUNISH_WEAK,h6400:random,1982009,9,73,1,h6400,random,TILES,35,15,53,8,1,76,W,0,1,1,1,1,1,1
119,MUST_NOT_FEED,rod1:rod1,1985000,0,110,1,rod1,rod1,TILES,17,10,37,12,0,26,W,0,0,0,0,0,0,0
121,MUST_PUNISH_WEAK,rod1:rod1,1985004,4,55,0,rod1,rod1,TILES,44,-9,32,18,1,-18,L,0,1,1,1,1,1,1
123,MUST_PUNISH_WEAK,rod1:rod1,1985001,1,16,0,rod1,rod1,TILES,64,4,14,8,1,34,W,0,1,1,1,1,1,1
91,HIGH_VALUE_FARM_CLAIM_REFINED,h800:h800,1986003,3,141,0,h800,h800,MEEPLES,2,-42,7,9,1,-52,L,0,1,1,1,1,1,1
118,MUST_PUNISH_WEAK,rod1:rod1,1985000,0,99,1,rod1,rod1,MEEPLES,23,6,4,12,0,26,W,0,0,0,0,0,0,0
118,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985000,0,99,1,rod1,rod1,MEEPLES,23,6,4,12,0,26,W,0,0,0,0,0,0,0
122,MUST_PUNISH_WEAK,rod1:rod1,1985004,4,64,0,rod1,rod1,MEEPLES,40,13,6,9,1,-18,L,0,1,1,1,1,1,1
122,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985004,4,64,0,rod1,rod1,MEEPLES,40,13,6,9,1,-18,L,0,1,1,1,1,1,1
120,MUST_NOT_FEED,rod1:rod1,1985000,0,132,0,rod1,rod1,TILES,6,-17,41,8,0,-26,L,0,0,0,0,0,0,0
120,MUST_PUNISH_WEAK,rod1:rod1,1985000,0,132,0,rod1,rod1,TILES,6,-17,41,10,0,-26,L,0,1,0,1,1,1,0
127,MUST_NOT_FEED,rod1:rod1,1985002,2,36,0,rod1,rod1,TILES,54,-7,18,8,1,-16,L,0,1,1,1,1,1,1
125,MUST_PUNISH_WEAK,rod1:rod1,1985003,3,48,0,rod1,rod1,TILES,48,-5,36,8,0,14,W,0,1,0,1,1,1,0
129,MUST_PUNISH_WEAK,rod1:rod1,1985007,7,49,0,rod1,rod1,MEEPLES,48,10,4,9,1,27,W,0,0,1,1,1,1,1
129,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985007,7,49,0,rod1,rod1,MEEPLES,48,10,4,9,1,27,W,0,0,1,1,1,1,1
126,MUST_PUNISH_WEAK,rod1:rod1,1985003,3,76,0,rod1,rod1,TILES,34,-4,25,20,1,14,W,0,1,1,1,1,1,1
128,MUST_PUNISH_WEAK,rod1:rod1,1985002,2,49,0,rod1,rod1,MEEPLES,48,-9,4,9,1,-16,L,0,0,1,1,1,1,1
128,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985002,2,49,0,rod1,rod1,MEEPLES,48,-9,4,9,1,-16,L,0,0,1,1,1,1,1
124,MUST_PUNISH_WEAK,rod1:rod1,1985001,1,112,0,rod1,rod1,TILES,16,2,35,10,1,34,W,0,1,1,1,1,1,1
133,MUST_PUNISH_WEAK,rod1:rod1,1985005,5,17,0,rod1,rod1,MEEPLES,64,2,4,12,1,2,W,1,0,1,1,1,1,1
133,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985005,5,17,0,rod1,rod1,MEEPLES,64,2,4,12,1,2,W,1,0,1,1,1,1,1
132,MUST_PUNISH_WEAK,rod1:rod1,1985007,7,80,0,rod1,rod1,TILES,32,11,43,18,1,27,W,0,1,1,1,1,1,1
130,MUST_NOT_FEED,rod1:rod1,1985007,7,68,0,rod1,rod1,TILES,38,11,21,9,1,27,W,1,1,1,1,1,1,1
134,MUST_NOT_FEED,rod1:rod1,1985005,5,40,0,rod1,rod1,TILES,52,2,16,8,1,2,W,1,1,1,1,1,1,1
135,MUST_PUNISH_WEAK,rod1:rod1,1985005,5,60,0,rod1,rod1,TILES,42,-4,28,8,1,2,W,0,1,1,1,1,1,1
137,MUST_PUNISH_WEAK,rod1:rod1,1985006,6,50,1,rod1,rod1,TILES,47,5,19,12,1,-30,L,0,1,1,1,1,1,1
136,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985005,5,79,1,rod1,rod1,MEEPLES,33,9,5,9,1,-2,L,0,1,1,1,1,1,1
138,MUST_PUNISH_WEAK,rod1:rod1,1985006,6,52,0,rod1,rod1,TILES,46,-17,31,14,1,30,W,0,1,1,1,1,1,1
131,MUST_NOT_FEED,rod1:rod1,1985007,7,70,1,rod1,rod1,TILES,37,-11,13,8,0,-27,L,1,1,1,1,1,1,0
141,MUST_PUNISH_WEAK,rod1:rod1,1985009,9,51,1,rod1,rod1,MEEPLES,47,11,6,9,1,42,W,0,0,1,1,1,1,1
141,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:rod1,1985009,9,51,1,rod1,rod1,MEEPLES,47,11,6,9,1,42,W,0,0,1,1,1,1,1
140,MUST_NOT_FEED,rod1:rod1,1985006,6,110,1,rod1,rod1,TILES,17,-2,30,9,1,-30,L,1,1,1,1,1,1,1
143,MUST_NOT_FEED,rod1:rod1,1985009,9,86,1,rod1,rod1,TILES,29,19,33,9,1,42,W,1,1,1,1,1,1,1
142,MUST_PUNISH_WEAK,rod1:rod1,1985009,9,74,1,rod1,rod1,TILES,35,11,34,18,1,42,W,0,1,1,1,1,1,1
139,MUST_NOT_FEED,rod1:rod1,1985006,6,102,1,rod1,rod1,TILES,21,-2,23,8,1,-30,L,1,1,1,1,1,1,1
145,MUST_PUNISH_WEAK,rod1:rod1,1985011,11,10,1,rod1,rod1,TILES,67,0,6,8,0,3,W,0,1,1,1,1,0,0
146,MUST_NOT_FEED,rod1:rod1,1985011,11,24,0,rod1,rod1,TILES,60,-7,26,10,0,-3,L,0,1,1,1,1,1,0
144,MUST_NOT_FEED,rod1:rod1,1985009,9,90,1,rod1,rod1,TILES,27,19,41,9,1,42,W,1,1,1,1,1,1,1
147,MUST_NOT_FEED,rod1:rod1,1985011,11,26,1,rod1,rod1,TILES,59,7,7,10,0,3,W,0,0,0,0,0,0,0
