pass,mode,box,config,orchestrator,W,orch_shards,orch_fp16,mcts_batch,sims,n_reps,mvps_mean,mvps_std,gpu_pw_p50,gpu_util_p50,cpu_pct_p50,load_p50,bottleneck,status,selected_selfplay
full_sweep,selfplay,xeon,mcts_batch=16,True,18,1,False,16,200,1,5.85,0.0,48.0,34.0,57.7,8.7,ipc_latency,ok,
full_sweep,selfplay,xeon,W=8,True,8,1,False,8,200,1,5.43,0.0,51.2,37.0,52.5,5.7,ipc_latency,ok,
full_sweep,selfplay,xeon,W=24,True,24,1,False,8,200,1,5.41,0.0,50.4,34.0,47.6,9.9,ipc_latency,ok,
full_sweep,selfplay,xeon,W=18,True,18,1,False,8,200,1,5.37,0.0,53.0,30.0,52.5,7.7,ipc_latency,ok,
full_sweep,selfplay,xeon,timeout_ms=8.0,True,18,1,False,8,200,1,5.35,0.0,52.6,30.0,52.2,8.9,ipc_latency,ok,
full_sweep,selfplay,xeon,timeout_ms=16.0,True,18,1,False,8,200,1,5.35,0.0,52.7,30.0,51.8,7.8,ipc_latency,ok,
full_sweep,selfplay,xeon,fp16[Turing],True,18,1,True,8,200,1,5.31,0.0,40.5,30.0,51.5,6.0,ipc_latency,ok,
full_sweep,selfplay,xeon,W=16,True,16,1,False,8,200,1,5.25,0.0,50.8,32.0,52.8,7.8,ipc_latency,ok,
full_sweep,selfplay,xeon,W=10,True,10,1,False,8,200,1,5.09,0.0,49.8,35.0,55.0,6.2,ipc_latency,ok,
full_sweep,selfplay,xeon,W=12,True,12,1,False,8,200,1,4.99,0.0,47.9,35.0,53.2,6.9,ipc_latency,ok,
full_sweep,selfplay,xeon,mcts_batch=4,True,18,1,False,4,200,1,4.9,0.0,47.0,36.0,46.5,5.6,ipc_latency,ok,
full_sweep,selfplay,xeon,mcts_batch=2,True,18,1,False,2,200,1,4.66,0.0,49.3,37.0,40.1,5.2,ipc_latency,ok,
full_sweep,selfplay,xeon,mcts_batch=1,True,18,1,False,1,200,1,3.92,0.0,45.0,38.0,34.8,5.3,ipc_latency,ok,
confirm,selfplay,xeon,orch_off W=8,False,8,1,False,8,200,3,7.04,0.06,94.2,52.0,67.0,7.8,gpu_compute,ok,
confirm,selfplay,xeon,orch_shards=2,True,18,2,False,8,200,3,6.9,0.02,93.8,41.0,88.2,10.8,balanced,ok,yes
confirm,selfplay,xeon,fp16[Turing],True,18,1,True,8,200,3,5.46,0.04,40.7,28.0,52.0,7.9,ipc_latency,ok,
deploy,selfplay,xeon,deploy,True,18,2,False,8,200,3,6.99,0.04,93.0,41.0,88.0,11.3,balanced,ok,yes
