[215/898] s28000000111_p33 trunc=0/8796 3.724s
[216/898] s28000000107_p73 trunc=0/9940 6.151s
[217/898] s28000000110_p94 trunc=0/10363 6.052s
[218/898] s28000000112_p70 trunc=0/8998 4.819s
[219/898] s28000000108_p93 trunc=0/9647 7.674s
[220/898] s28000000106_p89 trunc=0/10122 9.284s
[221/898] s28000000111_p76 trunc=0/10581 6.078s
[222/898] s28000000113_p66 trunc=0/9542 5.825s
[223/898] s28000000110_p98 trunc=0/9090 7.005s
[224/898] s28000000109_p96 trunc=0/9016 8.611s
[225/898] s28000000115_p35 trunc=0/9226 3.383s
[226/898] s28000000114_p62 trunc=0/8722 4.537s
[227/898] s28000000108_p102 trunc=0/10429 9.981s
[228/898] s28000000118_p14 trunc=0/10625 1.887s
[229/898] s28000000113_p80 trunc=0/9231 7.158s
[230/898] s28000000114_p81 trunc=0/9500 6.022s
[231/898] s28000000112_p118 trunc=0/10378 9.009s
[232/898] s28000000116_p57 trunc=0/10293 5.938s
[233/898] s28000000122_p5 trunc=0/9895 1.428s
[234/898] s28000000115_p65 trunc=0/10545 6.866s
[235/898] s28000000109_p133 trunc=0/8117 13.01s
[236/898] s28000000120_p55 trunc=0/10527 4.475s
[237/898] s28000000119_p54 trunc=0/10069 6.416s
[238/898] s28000000123_p33 trunc=0/9980 3.585s
[239/898] s28000000116_p106 trunc=0/10182 7.834s
[240/898] s28000000124_p37 trunc=0/9168 3.7s
[241/898] s28000000118_p100 trunc=0/8703 9.503s
[242/898] s28000000121_p112 trunc=0/10057 8.181s
[243/898] s28000000126_p30 trunc=0/9993 3.141s
[244/898] s28000000124_p72 trunc=0/9122 5.615s
[245/898] s28000000127_p47 trunc=0/9812 3.656s
[246/898] s28000000117_p124 trunc=0/9802 11.776s
[247/898] s28000000120_p111 trunc=0/9606 10.332s
[248/898] s28000000123_p114 trunc=0/9799 7.565s
[249/898] s28000000129_p8 trunc=0/10181 1.835s
[250/898] s28000000130_p7 trunc=0/10406 1.536s
[251/898] s28000000119_p126 trunc=0/10461 11.624s
[252/898] s28000000121_p141 trunc=0/552 10.219s
[253/898] s28000000122_p103 trunc=0/9620 9.344s
[254/898] s28000000125_p94 trunc=0/9767 7.661s
[255/898] s28000000117_p130 trunc=0/9596 12.927s
[256/898] s28000000125_p96 trunc=0/9802 7.398s
[257/898] s28000000130_p20 trunc=0/10647 2.873s
[258/898] s28000000133_p12 trunc=0/10399 2.225s
[259/898] s28000000128_p78 trunc=0/9348 5.907s
[260/898] s28000000131_p43 trunc=0/10786 4.257s
[261/898] s28000000134_p49 trunc=0/9987 3.642s
[262/898] s28000000136_p21 trunc=0/9482 2.509s
[263/898] s28000000132_p47 trunc=0/10460 4.782s
[264/898] s28000000128_p72 trunc=0/9798 6.868s
[265/898] s28000000126_p104 trunc=0/9579 10.008s
[266/898] s28000000136_p24 trunc=0/9864 2.923s
[267/898] s28000000131_p52 trunc=0/10182 5.918s
[268/898] s28000000127_p119 trunc=0/9063 9.93s
[269/898] s28000000138_p16 trunc=0/10201 2.338s
[270/898] s28000000140_p10 trunc=0/9899 1.66s
[271/898] s28000000133_p74 trunc=0/9424 6.421s
[272/898] s28000000138_p24 trunc=0/10968 2.642s
[273/898] s28000000134_p67 trunc=0/10500 6.557s
[274/898] s28000000129_p115 trunc=0/9725 9.176s
[275/898] s28000000135_p76 trunc=0/9948 6.549s
[276/898] s28000000132_p105 trunc=0/9996 7.697s
[277/898] s28000000142_p16 trunc=0/9830 2.101s
[278/898] s28000000145_p10 trunc=0/9734 1.63s
[279/898] s28000000139_p51 trunc=0/9014 4.986s
