1785381830 6.42 2.69 2
1785381835 6.54 2.55 2
1785381840 6.44 2.51 2
1785381845 6.41 2.39 2
1785381850 6.41 2.28 2
1785381855 6.49 2.18 2
1785381860 6.40 2.16 2
1785381865 6.41 2.07 2
1785381870 6.43 2.14 2
1785381875 6.49 2.05 2
1785381880 6.45 1.97 2
1785381885 6.44 1.89 2
1785381890 6.43 1.82 2
1785381895 6.38 1.83 2
1785381900 6.37 1.85 2
1785381905 6.48 1.78 2
1785381911 6.46 1.72 2
1785381916 6.44 1.66 2
1785381921 6.34 1.60 2
1785381926 6.36 1.56 2
1785381931 6.37 1.51 2
1785381936 6.36 1.55 2
1785381941 6.31 1.51 2
1785381946 6.40 1.55 0
0
1785381951 6.40 1.42 0
0
1785381956 6.40 1.31 0
0
1785381961 6.37 1.20 0
0
1785381966 6.33 1.11 0
0
1785381971 6.44 1.02 1
1785381976 73.69 1.34 1
1785381982 75.20 2.89 1
1785381987 74.00 3.78 1
1785381992 72.88 4.76 1
1785381997 74.92 5.10 1
1785382002 71.07 5.81 1
1785382007 75.08 6.39 1
1785382012 74.32 7.00 1
1785382017 76.83 8.04 1
1785382023 74.09 8.52 1
1785382028 76.20 8.88 1
1785382033 74.23 9.21 1
1785382038 75.33 9.27 1
1785382043 76.14 9.33 1
1785382048 73.73 9.54 1
1785382053 78.14 9.34 1
1785382058 76.25 9.47 1
1785382063 77.34 9.43 1
1785382069 74.85 9.72 1
1785382074 75.12 9.66 1
1785382079 74.71 10.17 1
1785382084 76.71 10.40 1
1785382089 76.74 10.52 1
1785382094 74.04 11.04 1
1785382099 74.57 11.36 1
1785382104 74.82 11.01 1
1785382110 72.84 10.93 1
1785382115 76.39 10.45 1
1785382120 72.80 10.02 1
1785382125 76.26 10.34 1
1785382130 75.32 10.87 1
1785382135 74.50 11.20 1
1785382140 75.81 11.10 1
1785382145 75.71 11.34 1
1785382151 74.99 11.31 1
1785382156 75.84 11.61 1
1785382161 73.14 11.72 1
1785382166 74.20 11.74 1
1785382171 73.60 11.52 1
1785382176 72.28 12.04 1
1785382181 73.15 12.20 1
1785382186 71.90 11.78 1
1785382192 74.38 12.36 1
1785382197 74.89 11.94 1
1785382202 74.36 12.42 1
1785382207 74.74 12.07 1
1785382212 74.24 11.66 1
1785382217 75.04 11.93 1
1785382222 74.25 11.93 1
1785382227 74.92 11.54 1
1785382233 74.66 12.46 1
1785382238 74.42 12.74 1
1785382243 73.04 13.08 1
1785382248 71.71 12.60 1
1785382253 72.23 12.31 1
1785382258 72.39 12.60 1
1785382263 74.96 12.55 1
1785382268 73.73 12.59 1
1785382273 73.71 12.62 1
1785382279 74.29 12.25 1
1785382284 73.90 12.23 1
1785382289 75.06 11.89 1
1785382294 73.02 12.06 1
1785382299 73.72 11.82 1
1785382304 73.41 11.99 1
1785382309 73.82 11.67 1
1785382314 72.66 11.86 1
1785382320 71.39 12.19 1
1785382325 72.62 12.42 1
1785382330 75.10 12.14 1
1785382335 73.89 12.53 1
1785382340 73.45 12.49 1
1785382345 72.76 12.69 1
1785382350 73.88 12.87 1
1785382355 72.40 12.08 1
1785382361 74.48 11.76 1
1785382366 73.46 12.58 1
1785382371 71.22 12.77 1
1785382376 75.11 12.71 1
1785382381 73.89 13.21 1
1785382386 72.86 13.28 1
1785382391 73.80 13.25 1
1785382396 72.77 13.47 1
1785382402 75.18 13.12 1
1785382407 73.93 13.27 1
1785382412 73.05 12.85 1
1785382417 72.21 13.04 1
1785382422 72.68 12.87 1
1785382427 73.01 12.56 1
1785382432 72.26 12.20 1
1785382437 75.19 12.74 1
1785382443 74.72 12.12 1
1785382448 73.76 12.11 1
1785382453 73.06 12.18 1
1785382458 73.03 12.25 1
1785382463 73.93 11.75 1
1785382468 73.34 11.85 1
1785382473 73.94 11.54 1
1785382478 75.40 11.74 1
1785382484 72.43 12.40 1
1785382489 72.53 12.05 1
1785382494 72.86 11.88 1
1785382499 73.53 11.73 1
1785382504 73.02 12.15 1
1785382509 71.74 12.70 1
1785382514 73.18 12.81 1
1785382519 73.46 12.90 1
1785382524 72.22 13.47 1
1785382530 73.12 13.43 1
1785382535 71.74 13.64 1
1785382540 72.53 13.43 1
1785382545 70.04 13.15 1
1785382550 70.58 13.46 1
1785382555 71.34 12.94 1
1785382560 70.16 12.95 1
1785382565 71.26 12.87 1
1785382571 73.18 12.96 1
1785382576 73.01 13.05 1
1785382581 71.22 12.80 1
1785382586 71.61 13.06 1
1785382591 70.81 12.65 1
1785382596 70.19 12.92 1
1785382601 69.53 13.57 1
1785382606 70.29 14.08 1
1785382611 70.37 13.68 1
1785382617 69.72 13.94 1
1785382622 70.05 14.67 1
1785382627 70.80 15.10 1
1785382632 71.67 15.17 1
1785382637 44.64 13.87 0
0
1785382642 10.51 12.76 0
0
1785382647 7.14 11.81 0
0
1785382652 6.93 10.95 0
0
1785382657 6.87 10.07 0
0
1785382662 6.86 9.34 0
0
1785382667 6.94 8.84 1
1785382673 70.79 9.65 1
1785382678 67.51 10.80 1
1785382683 73.56 11.06 1
1785382688 72.39 11.45 1
1785382693 74.14 11.34 1
1785382698 74.59 11.55 1
1785382704 74.75 11.58 1
1785382709 74.45 12.34 1
1785382714 75.35 13.19 1
1785382719 74.34 13.90 1
