case_id,dataset,position_id,k,band,source,n_legal,gap,v27_choice,ref_choice,ref_kind,v27_q,ref_q,v27_eval,ref_eval,mechanism_raw,failure_class,candidate_patch,leaf_addressable,also_iter8_miss,raw_path
mid::greedy_s3500000042_K10,midgame,greedy_s3500000042_K10,10,pre_endgame,greedy,25,0.0001,544,1268,teacher(heur@3200),-0.94851,-0.94837,,,meeple-economy,meeple-economy,meeple_economy_v1,yes,True,
mid::heur3200_s3502000007_K10,midgame,heur3200_s3502000007_K10,10,pre_endgame,heur@3200,34,0.0001,644,1648,teacher(heur@3200),0.97937,0.97983,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000044_K10,midgame,hybrid_8_3200_s3503000044_K10,10,pre_endgame,hybrid:8:3200,33,0.0001,654,767,teacher(heur@3200),-0.99162,-0.99145,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::hybrid_8_3200_s3503000045_K10,midgame,hybrid_8_3200_s3503000045_K10,10,pre_endgame,hybrid:8:3200,67,0.0001,645,841,teacher(heur@3200),0.26287,0.26541,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000028_K10,midgame,iter8_s3501000028_K10,10,pre_endgame,iter8,72,0.0001,740,1632,teacher(heur@3200),-0.9805,-0.98032,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::iter8_s3501000042_K10,midgame,iter8_s3501000042_K10,10,pre_endgame,iter8,53,0.0001,1028,1367,teacher(heur@3200),0.98441,0.98556,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000037_K52,midgame,hybrid_8_3200_s3503000037_K52,52,opening,hybrid:8:3200,33,0.0,1061,1551,teacher(heur@3200),0.1031,0.14685,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000000_K40,midgame,greedy_s3500000000_K40,40,early_mid,greedy,20,0.0,1264,1369,teacher(heur@3200),0.13305,0.13306,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000017_K40,midgame,greedy_s3500000017_K40,40,early_mid,greedy,29,0.0,1648,1651,teacher(heur@3200),-0.9594,-0.95937,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000007_K40,midgame,heur3200_s3502000007_K40,40,early_mid,heur@3200,29,0.0,940,1558,teacher(heur@3200),0.82786,0.84887,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
