[agree] carcassonne_ai.fair_agent -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/fair_agent.py
[agree] carcassonne_ai.mcts       -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/mcts.py
         s28000000035_p25_r1 14.99s agreeQ_all=False [114/2694 2680/h]
         s28000000035_p25_r2 14.716s agreeQ_all=False [115/2694 2703/h]
         s28000000035_p25_r3 14.899s agreeQ_all=False [116/2694 2722/h]
        s28000000033_p111_r3 26.963s agreeQ_all=False [117/2694 2727/h]
         s28000000036_p16_r3 15.921s agreeQ_all=True [118/2694 2729/h]
         s28000000037_p24_r1 13.503s agreeQ_all=False [119/2694 2725/h]
         s28000000036_p66_r2 16.973s agreeQ_all=False [120/2694 2725/h]
        s28000000033_p122_r3 27.822s agreeQ_all=True [121/2694 2732/h]
        s28000000035_p120_r1 21.184s agreeQ_all=False [122/2694 2749/h]
         s28000000036_p66_r1 22.809s agreeQ_all=False [123/2694 2714/h]
          s28000000039_p5_r3 11.696s agreeQ_all=True [124/2694 2703/h]
         s28000000034_p84_r1 29.954s agreeQ_all=True [125/2694 2716/h]
         s28000000034_p84_r2 27.985s agreeQ_all=True [126/2694 2737/h]
         s28000000036_p66_r3 23.379s agreeQ_all=False [127/2694 2758/h]
          s28000000039_p5_r1 12.75s agreeQ_all=True [128/2694 2777/h]
         s28000000034_p84_r3 29.983s agreeQ_all=True [129/2694 2768/h]
          s28000000041_p5_r2 15.214s agreeQ_all=False [130/2694 2679/h]
          s28000000041_p5_r3 15.181s agreeQ_all=False [131/2694 2695/h]
         s28000000040_p58_r2 24.41s agreeQ_all=False [132/2694 2639/h]
         s28000000040_p60_r1 23.833s agreeQ_all=True [133/2694 2644/h]
         s28000000038_p63_r3 28.037s agreeQ_all=True [134/2694 2662/h]
         s28000000040_p58_r1 26.904s agreeQ_all=True [135/2694 2680/h]
         s28000000038_p63_r1 31.575s agreeQ_all=True [136/2694 2651/h]
         s28000000038_p63_r2 32.723s agreeQ_all=False [137/2694 2653/h]
         s28000000040_p60_r2 29.662s agreeQ_all=True [138/2694 2640/h]
          s28000000045_p2_r1 15.962s agreeQ_all=False [139/2694 2620/h]
         s28000000043_p62_r1 30.453s agreeQ_all=False [140/2694 2566/h]
         s28000000043_p62_r3 29.605s agreeQ_all=False [141/2694 2571/h]
        s28000000042_p111_r2 38.555s agreeQ_all=True [142/2694 2534/h]
        s28000000042_p111_r3 42.774s agreeQ_all=True [143/2694 2476/h]
        s28000000045_p126_r1 27.857s agreeQ_all=False [144/2694 2492/h]
         s28000000047_p13_r1 21.417s agreeQ_all=True [145/2694 2490/h]
        s28000000044_p134_r3 35.35s agreeQ_all=False [146/2694 2501/h]
         s28000000047_p13_r3 23.428s agreeQ_all=True [147/2694 2468/h]
         s28000000046_p86_r2 34.466s agreeQ_all=False [148/2694 2470/h]
         s28000000046_p86_r1 34.776s agreeQ_all=True [149/2694 2484/h]
         s28000000048_p16_r1 21.788s agreeQ_all=False [150/2694 2474/h]
         s28000000048_p16_r3 19.447s agreeQ_all=False [151/2694 2458/h]
         s28000000046_p86_r3 40.394s agreeQ_all=False [152/2694 2467/h]
         s28000000048_p16_r2 25.051s agreeQ_all=False [153/2694 2476/h]
         s28000000049_p66_r3 25.514s agreeQ_all=True [154/2694 2357/h]
         s28000000049_p66_r2 33.296s agreeQ_all=True [155/2694 2312/h]
         s28000000051_p52_r2 23.514s agreeQ_all=False [156/2694 2323/h]
        s28000000051_p112_r1 24.248s agreeQ_all=False [157/2694 2302/h]
         s28000000049_p66_r1 37.953s agreeQ_all=True [158/2694 2313/h]
         s28000000050_p64_r1 37.618s agreeQ_all=True [159/2694 2310/h]
        s28000000051_p112_r2 26.681s agreeQ_all=False [160/2694 2318/h]
        s28000000050_p122_r2 34.764s agreeQ_all=False [161/2694 2312/h]
         s28000000050_p64_r3 36.379s agreeQ_all=True [162/2694 2325/h]
         s28000000052_p86_r1 30.504s agreeQ_all=False [163/2694 2319/h]
        s28000000042_p135_r3 94.246s agreeQ_all=False [164/2694 2271/h]
        s28000000050_p122_r1 46.838s agreeQ_all=False [165/2694 2262/h]
        s28000000042_p135_r1 102.425s agreeQ_all=False [166/2694 2229/h]
        s28000000052_p126_r3 35.651s agreeQ_all=True [167/2694 2219/h]
        s28000000042_p135_r2 106.533s agreeQ_all=False [168/2694 2221/h]
         s28000000054_p61_r1 32.465s agreeQ_all=True [169/2694 2189/h]
         s28000000054_p61_r3 32.225s agreeQ_all=False [170/2694 2200/h]
          s28000000056_p8_r2 15.977s agreeQ_all=False [171/2694 2210/h]
         s28000000053_p70_r3 38.026s agreeQ_all=False [172/2694 2216/h]
        s28000000055_p114_r2 30.239s agreeQ_all=False [173/2694 2217/h]
        s28000000053_p104_r1 40.595s agreeQ_all=False [174/2694 2218/h]
          s28000000056_p8_r3 16.665s agreeQ_all=False [175/2694 2212/h]
        s28000000055_p114_r3 40.245s agreeQ_all=False [176/2694 2177/h]
        s28000000055_p118_r3 36.088s agreeQ_all=False [177/2694 2152/h]
        s28000000055_p118_r1 44.949s agreeQ_all=False [178/2694 2150/h]
        s28000000054_p117_r2 50.109s agreeQ_all=True [179/2694 2158/h]
        s28000000054_p117_r1 54.951s agreeQ_all=False [180/2694 2141/h]
         s28000000058_p50_r1 26.712s agreeQ_all=False [181/2694 2138/h]
        s28000000058_p124_r2 24.382s agreeQ_all=False [182/2694 2145/h]
        s28000000058_p124_r1 29.666s agreeQ_all=False [183/2694 2132/h]
        s28000000057_p112_r1 39.405s agreeQ_all=False [184/2694 2134/h]
         s28000000059_p39_r1 26.904s agreeQ_all=False [185/2694 2136/h]
         s28000000058_p50_r2 33.622s agreeQ_all=True [186/2694 2147/h]
        s28000000058_p124_r3 30.348s agreeQ_all=False [187/2694 2152/h]
         s28000000058_p50_r3 34.418s agreeQ_all=False [188/2694 2162/h]
         s28000000059_p51_r3 27.248s agreeQ_all=True [189/2694 2104/h]
         s28000000061_p36_r2 22.767s agreeQ_all=False [190/2694 2089/h]
