[345/898] s28000000163_p108 trunc=0/9814 13.092s
[346/898] s28000000165_p105 trunc=0/8761 11.664s
[347/898] s28000000172_p67 trunc=0/10362 8.204s
[348/898] s28000000180_p24 trunc=0/10016 3.509s
[349/898] s28000000177_p53 trunc=0/9481 5.468s
[350/898] s28000000179_p38 trunc=0/10100 5.027s
[351/898] s28000000178_p58 trunc=0/9820 6.187s
[352/898] s28000000172_p82 trunc=0/10638 9.945s
[353/898] s28000000174_p65 trunc=0/10797 8.612s
[354/898] s28000000173_p120 trunc=0/8767 9.98s
[355/898] s28000000176_p68 trunc=0/9672 8.226s
[356/898] s28000000168_p121 trunc=0/10058 14.108s
[357/898] s28000000181_p52 trunc=0/9690 5.741s
[358/898] s28000000175_p86 trunc=0/10477 9.823s
[359/898] s28000000181_p76 trunc=0/10820 5.953s
[360/898] s28000000183_p63 trunc=0/9952 5.872s
[361/898] s28000000188_p3 trunc=0/10665 1.6s
[362/898] s28000000176_p92 trunc=0/10254 9.715s
[363/898] s28000000171_p120 trunc=0/10199 13.878s
[364/898] s28000000180_p94 trunc=0/9458 8.226s
[365/898] s28000000178_p96 trunc=0/10672 10.118s
[366/898] s28000000188_p19 trunc=0/10584 2.851s
[367/898] s28000000189_p20 trunc=0/9976 3.258s
[368/898] s28000000182_p84 trunc=0/9597 8.368s
[369/898] s28000000187_p34 trunc=0/10352 4.86s
[370/898] s28000000185_p69 trunc=0/10625 7.419s
[371/898] s28000000184_p75 trunc=0/10387 9.54s
[372/898] s28000000194_p16 trunc=0/10254 2.721s
[373/898] s28000000183_p91 trunc=0/10894 10.952s
[374/898] s28000000184_p77 trunc=0/9262 9.853s
[375/898] s28000000182_p111 trunc=0/10198 12.061s
[376/898] s28000000192_p46 trunc=0/9971 5.983s
[377/898] s28000000189_p68 trunc=0/10520 6.786s
[378/898] s28000000175_p135 trunc=0/9827 16.577s
[379/898] s28000000185_p102 trunc=0/10820 10.289s
[380/898] s28000000186_p116 trunc=0/9810 10.333s
[381/898] s28000000191_p57 trunc=0/10633 7.475s
[382/898] s28000000190_p88 trunc=0/10768 8.734s
[383/898] s28000000195_p61 trunc=0/10738 6.691s
[384/898] s28000000197_p25 trunc=0/9101 3.871s
[385/898] s28000000187_p133 trunc=0/6487 11.313s
[386/898] s28000000199_p15 trunc=0/9690 2.837s
[387/898] s28000000193_p83 trunc=0/8731 8.924s
[388/898] s28000000192_p74 trunc=0/10101 9.667s
[389/898] s28000000186_p132 trunc=0/8788 13.234s
[390/898] s28000000200_p23 trunc=0/9691 3.642s
[391/898] s28000000202_p7 trunc=0/10027 1.866s
[392/898] s28000000191_p86 trunc=0/10219 10.992s
[393/898] s28000000196_p57 trunc=0/9417 6.785s
[394/898] s28000000195_p79 trunc=0/9184 8.606s
[395/898] s28000000203_p15 trunc=0/10397 2.701s
[396/898] s28000000199_p60 trunc=0/9833 6.026s
[397/898] s28000000190_p106 trunc=0/10237 13.079s
[398/898] s28000000196_p73 trunc=0/9154 8.316s
[399/898] s28000000206_p16 trunc=0/10453 3.049s
[400/898] s28000000206_p25 trunc=0/10253 3.44s
[401/898] s28000000193_p94 trunc=0/10132 12.894s
[402/898] s28000000202_p50 trunc=0/10596 6.113s
[403/898] s28000000200_p108 trunc=0/9141 9.192s
[404/898] s28000000198_p82 trunc=0/9883 10.325s
[405/898] s28000000194_p131 trunc=0/9858 14.19s
[406/898] s28000000210_p12 trunc=0/10054 2.548s
[407/898] s28000000201_p105 trunc=0/9837 9.125s
[408/898] s28000000211_p9 trunc=0/9944 2.158s
[409/898] s28000000208_p41 trunc=0/9474 4.792s
[410/898] s28000000197_p105 trunc=0/9620 11.751s
[411/898] s28000000210_p15 trunc=0/8966 2.835s
[412/898] s28000000203_p96 trunc=0/9324 8.563s
[413/898] s28000000198_p101 trunc=0/10198 11.746s
[414/898] s28000000201_p108 trunc=0/10566 10.586s
[415/898] s28000000217_p142 trunc=None/None 0.0004990100860595703s
[416/898] s28000000208_p84 trunc=0/9370 6.836s
[417/898] s28000000205_p90 trunc=0/9692 10.131s
[418/898] s28000000216_p21 trunc=0/10823 3.265s
[419/898] s28000000204_p112 trunc=0/8843 10.889s
[420/898] s28000000207_p95 trunc=0/10442 9.663s
[421/898] s28000000212_p58 trunc=0/9953 5.618s
[422/898] s28000000205_p121 trunc=0/10006 11.747s
[423/898] s28000000204_p123 trunc=0/9444 12.141s
[424/898] s28000000207_p111 trunc=0/9023 10.632s
[425/898] s28000000213_p49 trunc=0/10553 6.391s
[426/898] s28000000209_p95 trunc=0/10183 10.826s
[427/898] s28000000222_p11 trunc=0/10272 2.242s
[428/898] s28000000215_p68 trunc=0/10500 7.998s
[429/898] s28000000218_p53 trunc=0/9558 6.987s
[430/898] s28000000209_p114 trunc=0/10304 13.783s
[431/898] s28000000218_p59 trunc=0/10060 7.695s
[432/898] s28000000215_p80 trunc=0/10078 10.289s
[433/898] s28000000216_p102 trunc=0/8706 9.628s
[434/898] s28000000222_p38 trunc=0/10323 4.909s
[435/898] s28000000223_p43 trunc=0/10643 4.794s
[436/898] s28000000211_p108 trunc=0/10187 12.686s
[437/898] s28000000213_p83 trunc=0/9947 11.512s
[438/898] s28000000214_p101 trunc=0/9510 11.882s
[439/898] s28000000220_p73 trunc=0/8591 7.947s
[440/898] s28000000214_p97 trunc=0/9765 12.106s
[441/898] s28000000220_p70 trunc=0/10461 8.178s
[442/898] s28000000219_p52 trunc=0/9957 8.575s
[443/898] s28000000224_p38 trunc=0/9275 4.568s
[444/898] s28000000228_p2 trunc=0/10435 1.526s
[445/898] s28000000232_p142 trunc=None/None 0.0006108283996582031s
[446/898] s28000000217_p103 trunc=0/8523 11.233s
[447/898] s28000000233_p142 trunc=None/None 0.0005657672882080078s
[448/898] s28000000226_p9 trunc=0/10293 2.178s
[449/898] s28000000219_p114 trunc=0/10172 11.052s
[450/898] s28000000230_p26 trunc=0/10680 3.35s
[451/898] s28000000226_p36 trunc=0/10271 5.019s
[452/898] s28000000228_p36 trunc=0/10302 4.977s
[453/898] s28000000230_p68 trunc=0/8619 4.405s
