=== scheduler dispatch window_truncation_census W=22 2026-08-13T11:21:44-04:00 ===
[2026-08-13T11:21:44-04:00] window-truncation census: box=laptop job=window_truncation_census W=22 smoke=0 share=/mnt/c/carc-shared
[2026-08-13T11:21:44-04:00] FATAL: CL-070 root bank missing at /mnt/c/carc-shared/classical_search/move_agreement_k4_b28e9/roots.jsonl
=== scheduler dispatch window_truncation_census EXIT rc=13 2026-08-13T11:21:44-04:00 ===
=== scheduler dispatch window_truncation_census W=22 2026-08-13T11:46:12-04:00 ===
[2026-08-13T11:46:12-04:00]   share candidate /mnt/c/carc-shared: REJECTED (exists, but no sentinel classical_search/move_agreement_k4_b28e9/roots.jsonl — 1 entries; wrong mount for this box)
[2026-08-13T11:46:12-04:00]   share candidate /mnt/carc-shared: ACCEPTED (sentinel present)
[2026-08-13T11:46:12-04:00] window-truncation census: box=laptop job=window_truncation_census W=22 smoke=0 share=/mnt/carc-shared
[2026-08-13T11:46:12-04:00] preflight ok — git 8fe245422, leg-A bank 898 roots, 26 e4 archives
[2026-08-13T11:46:12-04:00] leg walled: starting (W=22, R9=0, out=measurement/window_truncation_20260813/census_walled, log=measurement/window_truncation_20260813/logs/census_walled.log)
[176/898] s28000000094_p19 trunc=0/10804 3.174s
[177/898] s28000000085_p96 trunc=0/9606 9.949s
[178/898] s28000000076_p136 trunc=0/10994 16.365s
[179/898] s28000000094_p24 trunc=0/10629 3.785s
[180/898] s28000000088_p76 trunc=0/10679 9.02s
[181/898] s28000000095_p18 trunc=0/9695 3.166s
[182/898] s28000000086_p102 trunc=0/10304 10.846s
[183/898] s28000000082_p114 trunc=0/9949 13.095s
[184/898] s28000000092_p56 trunc=0/9512 7.158s
[185/898] s28000000088_p102 trunc=0/10534 11.131s
[186/898] s28000000086_p107 trunc=0/9925 12.208s
[187/898] s28000000096_p44 trunc=0/9574 4.823s
[188/898] s28000000091_p84 trunc=0/10176 9.479s
[189/898] s28000000102_p10 trunc=0/10044 2.325s
[190/898] s28000000091_p88 trunc=0/10711 10.136s
[191/898] s28000000097_p37 trunc=0/10475 5.362s
[192/898] s28000000099_p49 trunc=0/10036 4.945s
[193/898] s28000000090_p116 trunc=0/9875 11.428s
[194/898] s28000000101_p29 trunc=0/9721 3.73s
[195/898] s28000000084_p143 trunc=0/16 16.164s
[196/898] s28000000103_p9 trunc=0/9851 2.149s
[197/898] s28000000096_p57 trunc=0/9734 7.081s
[198/898] s28000000098_p60 trunc=0/9160 6.703s
[199/898] s28000000105_p10 trunc=0/9946 2.137s
[200/898] s28000000093_p98 trunc=0/9795 10.73s
[201/898] s28000000104_p30 trunc=0/9664 3.831s
[202/898] s28000000105_p16 trunc=0/10311 2.845s
[203/898] s28000000102_p37 trunc=0/10169 5.189s
[204/898] s28000000100_p66 trunc=0/10172 7.673s
[205/898] s28000000107_p24 trunc=0/10381 3.825s
[206/898] s28000000106_p30 trunc=0/10237 4.321s
[207/898] s28000000095_p130 trunc=0/7408 10.749s
[208/898] s28000000099_p120 trunc=0/9820 10.285s
[209/898] s28000000101_p103 trunc=0/10836 9.463s
[210/898] s28000000100_p86 trunc=0/10603 10.582s
[211/898] s28000000097_p116 trunc=0/9584 12.143s
[212/898] s28000000103_p71 trunc=0/9835 8.529s
[213/898] s28000000111_p33 trunc=0/8796 4.811s
[214/898] s28000000104_p91 trunc=0/9711 8.684s
[215/898] s28000000107_p73 trunc=0/9940 7.825s
[216/898] s28000000110_p94 trunc=0/10363 7.552s
[217/898] s28000000112_p70 trunc=0/8998 6.285s
[218/898] s28000000098_p125 trunc=0/8941 14.837s
[219/898] s28000000108_p93 trunc=0/9647 9.452s
[220/898] s28000000114_p62 trunc=0/8722 5.807s
[221/898] s28000000110_p98 trunc=0/9090 8.429s
[222/898] s28000000115_p35 trunc=0/9226 4.217s
[223/898] s28000000111_p76 trunc=0/10581 7.938s
[224/898] s28000000118_p14 trunc=0/10625 2.354s
[225/898] s28000000113_p66 trunc=0/9542 6.965s
[226/898] s28000000109_p96 trunc=0/9016 9.856s
[227/898] s28000000106_p89 trunc=0/10122 11.485s
[228/898] s28000000113_p80 trunc=0/9231 8.023s
[229/898] s28000000122_p5 trunc=0/9895 1.803s
[230/898] s28000000114_p81 trunc=0/9500 7.548s
[231/898] s28000000108_p102 trunc=0/10429 13.078s
[232/898] s28000000115_p65 trunc=0/10545 7.733s
[233/898] s28000000116_p57 trunc=0/10293 7.792s
[234/898] s28000000112_p118 trunc=0/10378 11.602s
