[2026-08-13T21:54:10-04:00]   share candidate /mnt/c/carc-shared: ACCEPTED (sentinel present)
[2026-08-13T21:54:10-04:00]   share candidate /mnt/carc-shared: REJECTED (exists, but no sentinel classical_search/move_agreement_k4_b28e9/roots.jsonl — 0 entries; wrong mount for this box)
[2026-08-13T21:54:10-04:00] window-truncation census: box=local job=window_truncation_census W=24 smoke=0 share=/mnt/c/carc-shared
[2026-08-13T21:54:10-04:00] preflight ok — git 530368de, leg-A bank 898 roots, 26 e4 archives
[2026-08-13T21:54:10-04:00] leg walled: starting (W=24, R9=0, out=measurement/window_truncation_20260813/census_walled, log=measurement/window_truncation_20260813/logs/census_walled.log)
[217/898] s28000000112_p70 trunc=0/8998 5.971s
[218/898] s28000000110_p94 trunc=0/10363 7.324s
[219/898] s28000000111_p76 trunc=0/10581 7.164s
[220/898] s28000000118_p14 trunc=0/10625 2.355s
[221/898] s28000000114_p62 trunc=0/8722 5.763s
[222/898] s28000000108_p93 trunc=0/9647 9.039s
[223/898] s28000000110_p98 trunc=0/9090 7.636s
[224/898] s28000000113_p66 trunc=0/9542 6.774s
[225/898] s28000000109_p96 trunc=0/9016 9.51s
[226/898] s28000000114_p81 trunc=0/9500 6.807s
[227/898] s28000000113_p80 trunc=0/9231 7.479s
[228/898] s28000000106_p89 trunc=0/10122 10.919s
[229/898] s28000000098_p125 trunc=0/8941 15.075s
[230/898] s28000000122_p5 trunc=0/9895 1.729s
[231/898] s28000000108_p102 trunc=0/10429 11.794s
[232/898] s28000000115_p65 trunc=0/10545 7.174s
[233/898] s28000000116_p57 trunc=0/10293 6.928s
[234/898] s28000000112_p118 trunc=0/10378 11.656s
[235/898] s28000000120_p55 trunc=0/10527 6.045s
[236/898] s28000000123_p33 trunc=0/9980 5.097s
[237/898] s28000000119_p54 trunc=0/10069 7.277s
[238/898] s28000000126_p30 trunc=0/9993 4.161s
[239/898] s28000000124_p37 trunc=0/9168 4.956s
[240/898] s28000000129_p8 trunc=0/10181 2.147s
[241/898] s28000000109_p133 trunc=0/8117 15.342s
[242/898] s28000000116_p106 trunc=0/10182 10.036s
[243/898] s28000000130_p7 trunc=0/10406 2.067s
[244/898] s28000000127_p47 trunc=0/9812 5.112s
[245/898] s28000000124_p72 trunc=0/9122 7.267s
[246/898] s28000000118_p100 trunc=0/8703 11.263s
[247/898] s28000000130_p20 trunc=0/10647 3.747s
[248/898] s28000000125_p94 trunc=0/9767 8.563s
[249/898] s28000000133_p12 trunc=0/10399 2.493s
[250/898] s28000000123_p114 trunc=0/9799 9.763s
[251/898] s28000000121_p112 trunc=0/10057 10.504s
[252/898] s28000000125_p96 trunc=0/9802 9.12s
[253/898] s28000000119_p126 trunc=0/10461 12.608s
[254/898] s28000000131_p43 trunc=0/10786 5.536s
[255/898] s28000000120_p111 trunc=0/9606 12.154s
[256/898] s28000000122_p103 trunc=0/9620 11.749s
[257/898] s28000000117_p124 trunc=0/9802 15.013s
[258/898] s28000000128_p72 trunc=0/9798 9.05s
[259/898] s28000000128_p78 trunc=0/9348 7.652s
[260/898] s28000000121_p141 trunc=0/552 12.671s
[261/898] s28000000132_p47 trunc=0/10460 5.783s
[262/898] s28000000136_p21 trunc=0/9482 3.191s
[263/898] s28000000134_p49 trunc=0/9987 4.996s
[264/898] s28000000126_p104 trunc=0/9579 12.063s
[265/898] s28000000136_p24 trunc=0/9864 3.638s
[266/898] s28000000131_p52 trunc=0/10182 6.773s
[267/898] s28000000138_p16 trunc=0/10201 2.951s
[268/898] s28000000140_p10 trunc=0/9899 2.32s
[269/898] s28000000117_p130 trunc=0/9596 17.458s
[270/898] s28000000138_p24 trunc=0/10968 3.456s
[271/898] s28000000133_p74 trunc=0/9424 6.916s
[272/898] s28000000129_p115 trunc=0/9725 10.396s
[273/898] s28000000142_p16 trunc=0/9830 2.88s
[274/898] s28000000127_p119 trunc=0/9063 12.805s
[275/898] s28000000145_p10 trunc=0/9734 2.195s
[276/898] s28000000132_p105 trunc=0/9996 9.288s
[277/898] s28000000135_p76 trunc=0/9948 7.308s
[278/898] s28000000139_p51 trunc=0/9014 6.052s
[279/898] s28000000134_p67 trunc=0/10500 8.632s
[280/898] s28000000144_p31 trunc=0/10358 4.434s
[281/898] s28000000145_p34 trunc=0/10105 4.125s
[282/898] s28000000148_p17 trunc=0/10482 2.825s
[283/898] s28000000150_p11 trunc=0/10133 2.163s
[284/898] s28000000143_p46 trunc=0/9926 6.529s
[285/898] s28000000147_p41 trunc=0/10265 4.909s
[286/898] s28000000137_p96 trunc=0/10666 10.052s
[287/898] s28000000146_p39 trunc=0/10535 5.895s
[288/898] s28000000141_p82 trunc=0/10338 9.029s
[289/898] s28000000141_p94 trunc=0/10378 8.999s
[290/898] s28000000151_p26 trunc=0/10064 3.863s
[291/898] s28000000154_p16 trunc=0/10207 2.312s
[292/898] s28000000139_p86 trunc=0/10661 10.636s
[293/898] s28000000152_p29 trunc=0/10061 3.975s
[294/898] s28000000140_p105 trunc=0/9078 10.355s
[295/898] s28000000144_p97 trunc=0/10726 9.015s
[296/898] s28000000137_p125 trunc=0/8747 13.613s
[297/898] s28000000146_p88 trunc=0/9829 9.316s
[298/898] s28000000152_p50 trunc=0/10786 5.658s
[299/898] s28000000142_p124 trunc=0/9606 11.309s
[300/898] s28000000148_p85 trunc=0/10462 8.641s
[301/898] s28000000153_p59 trunc=0/10058 6.716s
[302/898] s28000000157_p20 trunc=0/10534 3.273s
[303/898] s28000000135_p141 trunc=0/1104 16.108s
[304/898] s28000000160_p7 trunc=0/9916 2.045s
[305/898] s28000000156_p45 trunc=0/9114 4.982s
[306/898] s28000000147_p128 trunc=0/8073 11.31s
[307/898] s28000000155_p47 trunc=0/10544 6.326s
[308/898] s28000000157_p48 trunc=0/9140 5.189s
[309/898] s28000000161_p23 trunc=0/10158 3.519s
[310/898] s28000000158_p49 trunc=0/10315 5.622s
[311/898] s28000000159_p39 trunc=0/10916 5.339s
[312/898] s28000000151_p95 trunc=0/10605 10.461s
[313/898] s28000000150_p103 trunc=0/9317 11.58s
[314/898] s28000000159_p40 trunc=0/10836 5.283s
[315/898] s28000000167_p2 trunc=0/10274 1.399s
[316/898] s28000000154_p104 trunc=0/10369 9.835s
[317/898] s28000000166_p11 trunc=0/9869 2.449s
[318/898] s28000000149_p114 trunc=0/9812 14.12s
[319/898] s28000000168_p1 trunc=0/10766 1.509s
[320/898] s28000000156_p127 trunc=0/8044 9.903s
[321/898] s28000000169_p5 trunc=0/10490 1.846s
[322/898] s28000000149_p123 trunc=0/10149 15.214s
[323/898] s28000000153_p115 trunc=0/10332 11.883s
[324/898] s28000000160_p68 trunc=0/10070 7.391s
[325/898] s28000000162_p56 trunc=0/10219 6.553s
[326/898] s28000000165_p46 trunc=0/9636 5.638s
[327/898] s28000000162_p88 trunc=0/10147 7.486s
[328/898] s28000000169_p18 trunc=0/10615 2.872s
[329/898] s28000000174_p3 trunc=0/10510 1.619s
[330/898] s28000000161_p132 trunc=0/9978 9.747s
[331/898] s28000000171_p27 trunc=0/9940 3.71s
[332/898] s28000000166_p69 trunc=0/10371 7.797s
[333/898] s28000000164_p73 trunc=0/10549 9.753s
[334/898] s28000000164_p83 trunc=0/10855 9.582s
[335/898] s28000000158_p118 trunc=0/10092 13.937s
[336/898] s28000000170_p49 trunc=0/10424 6.826s
[337/898] s28000000177_p3 trunc=0/9616 2.922s
[338/898] s28000000163_p78 trunc=0/10106 11.644s
[339/898] s28000000155_p116 trunc=0/9817 16.282s
[340/898] s28000000143_p139 trunc=0/5646 24.262s
[341/898] s28000000179_p7 trunc=0/10301 2.619s
[342/898] s28000000170_p88 trunc=0/10041 9.105s
[343/898] s28000000173_p59 trunc=0/10703 7.941s
[344/898] s28000000167_p132 trunc=0/9083 11.356s
[345/898] s28000000163_p108 trunc=0/9814 14.194s
[346/898] s28000000165_p105 trunc=0/8761 12.975s
[347/898] s28000000180_p24 trunc=0/10016 3.337s
[348/898] s28000000172_p67 trunc=0/10362 9.45s
[349/898] s28000000177_p53 trunc=0/9481 5.664s
[350/898] s28000000179_p38 trunc=0/10100 4.912s
[351/898] s28000000173_p120 trunc=0/8767 10.559s
[352/898] s28000000174_p65 trunc=0/10797 10.058s
[353/898] s28000000172_p82 trunc=0/10638 11.053s
[354/898] s28000000178_p58 trunc=0/9820 6.6s
[355/898] s28000000176_p68 trunc=0/9672 9.693s
[356/898] s28000000181_p52 trunc=0/9690 5.557s
[357/898] s28000000175_p86 trunc=0/10477 10.626s
[358/898] s28000000181_p76 trunc=0/10820 5.754s
[359/898] s28000000188_p3 trunc=0/10665 1.553s
[360/898] s28000000168_p121 trunc=0/10058 15.152s
[361/898] s28000000176_p92 trunc=0/10254 10.605s
[362/898] s28000000180_p94 trunc=0/9458 7.762s
[363/898] s28000000183_p63 trunc=0/9952 5.702s
[364/898] s28000000188_p19 trunc=0/10584 2.864s
[365/898] s28000000171_p120 trunc=0/10199 14.555s
[366/898] s28000000178_p96 trunc=0/10672 9.872s
[367/898] s28000000189_p20 trunc=0/9976 3.219s
[368/898] s28000000187_p34 trunc=0/10352 4.726s
[369/898] s28000000182_p84 trunc=0/9597 8.046s
[370/898] s28000000185_p69 trunc=0/10625 7.098s
[371/898] s28000000194_p16 trunc=0/10254 2.539s
[372/898] s28000000184_p75 trunc=0/10387 9.344s
[373/898] s28000000175_p135 trunc=0/9827 16.771s
[374/898] s28000000184_p77 trunc=0/9262 9.548s
[375/898] s28000000189_p68 trunc=0/10520 6.889s
[376/898] s28000000192_p46 trunc=0/9971 5.694s
[377/898] s28000000185_p102 trunc=0/10820 9.831s
[378/898] s28000000183_p91 trunc=0/10894 10.838s
[379/898] s28000000182_p111 trunc=0/10198 11.606s
[380/898] s28000000191_p57 trunc=0/10633 7.4s
[381/898] s28000000186_p116 trunc=0/9810 10.247s
[382/898] s28000000190_p88 trunc=0/10768 8.373s
[383/898] s28000000197_p25 trunc=0/9101 3.654s
[384/898] s28000000199_p15 trunc=0/9690 2.753s
[385/898] s28000000195_p61 trunc=0/10738 6.666s
[386/898] s28000000187_p133 trunc=0/6487 10.829s
[387/898] s28000000196_p57 trunc=0/9417 6.397s
[388/898] s28000000202_p7 trunc=0/10027 1.836s
[389/898] s28000000193_p83 trunc=0/8731 8.563s
[390/898] s28000000200_p23 trunc=0/9691 3.564s
[391/898] s28000000192_p74 trunc=0/10101 9.218s
[392/898] s28000000203_p15 trunc=0/10397 2.618s
[393/898] s28000000191_p86 trunc=0/10219 10.503s
[394/898] s28000000186_p132 trunc=0/8788 12.829s
[395/898] s28000000195_p79 trunc=0/9184 8.173s
[396/898] s28000000196_p73 trunc=0/9154 7.733s
[397/898] s28000000199_p60 trunc=0/9833 5.455s
[398/898] s28000000190_p106 trunc=0/10237 12.499s
[399/898] s28000000206_p16 trunc=0/10453 2.93s
[400/898] s28000000202_p50 trunc=0/10596 5.658s
[401/898] s28000000206_p25 trunc=0/10253 3.479s
[402/898] s28000000193_p94 trunc=0/10132 12.217s
[403/898] s28000000210_p12 trunc=0/10054 2.439s
[404/898] s28000000211_p9 trunc=0/9944 1.962s
[405/898] s28000000210_p15 trunc=0/8966 2.765s
[406/898] s28000000200_p108 trunc=0/9141 8.532s
[407/898] s28000000208_p41 trunc=0/9474 4.724s
[408/898] s28000000198_p82 trunc=0/9883 9.92s
[409/898] s28000000194_p131 trunc=0/9858 13.511s
[410/898] s28000000201_p105 trunc=0/9837 8.737s
[411/898] s28000000208_p84 trunc=0/9370 6.116s
[412/898] s28000000197_p105 trunc=0/9620 11.399s
[413/898] s28000000217_p142 trunc=None/None 0.0004990100860595703s
[414/898] s28000000203_p96 trunc=0/9324 8.322s
[415/898] s28000000198_p101 trunc=0/10198 11.445s
[416/898] s28000000201_p108 trunc=0/10566 10.126s
[417/898] s28000000216_p21 trunc=0/10823 3.266s
[418/898] s28000000205_p90 trunc=0/9692 9.54s
[419/898] s28000000212_p58 trunc=0/9953 5.518s
[420/898] s28000000204_p112 trunc=0/8843 10.726s
[421/898] s28000000207_p95 trunc=0/10442 9.48s
[422/898] s28000000213_p49 trunc=0/10553 6.076s
[423/898] s28000000207_p111 trunc=0/9023 10.078s
[424/898] s28000000204_p123 trunc=0/9444 11.693s
[425/898] s28000000209_p95 trunc=0/10183 10.137s
[426/898] s28000000205_p121 trunc=0/10006 11.717s
[427/898] s28000000222_p11 trunc=0/10272 2.063s
[428/898] s28000000215_p68 trunc=0/10500 7.598s
[429/898] s28000000218_p53 trunc=0/9558 6.612s
[430/898] s28000000209_p114 trunc=0/10304 12.923s
[431/898] s28000000218_p59 trunc=0/10060 7.379s
[432/898] s28000000222_p38 trunc=0/10323 4.524s
[433/898] s28000000215_p80 trunc=0/10078 9.4s
[434/898] s28000000223_p43 trunc=0/10643 4.344s
[435/898] s28000000216_p102 trunc=0/8706 9.275s
[436/898] s28000000211_p108 trunc=0/10187 12.328s
[437/898] s28000000224_p38 trunc=0/9275 4.661s
[438/898] s28000000213_p83 trunc=0/9947 11.406s
[439/898] s28000000219_p52 trunc=0/9957 8.712s
[440/898] s28000000226_p9 trunc=0/10293 2.684s
[441/898] s28000000228_p2 trunc=0/10435 1.921s
[442/898] s28000000220_p73 trunc=0/8591 7.979s
[443/898] s28000000232_p142 trunc=None/None 0.0005583763122558594s
[444/898] s28000000214_p97 trunc=0/9765 12.386s
