margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[5:10),7.5,6.897,1-5,1106,349,0.6067,0.5776,0.6351,0.2134,0.4299,0.7150
[10:15),12.5,11.953,1-5,1037,329,0.7845,0.7584,0.8084,0.5689,0.6623,0.8311
[15:20),17.5,16.879,1-5,916,284,0.8084,0.7817,0.8326,0.6168,0.8094,0.9047
[20:25),22.5,22.094,1-5,754,233,0.8853,0.8606,0.9061,0.7706,0.9001,0.9501
[25:30),27.5,26.750,1-5,632,194,0.9304,0.9078,0.9477,0.8608,0.9451,0.9725
[30:35),32.5,31.669,1-5,477,140,0.9633,0.9424,0.9768,0.9266,0.9711,0.9855
[35:40),37.5,36.834,1-5,290,91,0.9483,0.9164,0.9684,0.8966,0.9854,0.9927
[40:45),42.5,41.646,1-5,198,66,0.9773,0.9457,0.9907,0.9545,0.9923,0.9961
[45:50),47.5,46.724,1-5,145,48,1.0000,0.9742,1.0000,1.0000,0.9961,0.9980
[50:55),52.5,51.348,1-5,66,27,1.0000,0.9450,1.0000,1.0000,0.9979,0.9989
[55:60),57.5,60.330,1-5,94,26,1.0000,0.9607,1.0000,1.0000,0.9994,0.9997
